# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.01
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.41691,0.103317,1.49809,-0.286095
0.004,1.43339,0.0261093,0.0893808,-1.50409
0.006,1.58947,0.0161972,-0.2593,0.591221
0.008,1.32385,-0.0185216,-0.616921,1.38662
0.01,1.58622,0.0406339,-1.1312,-1.59845
0.012,1.487,0.0947429,-1.01792,-1.01446
0.014,1.51914,0.122534,-1.8543,-1.26364
0.016,1.45018,-0.0133833,0.281484,1.1259
0.018,1.49064,0.0769256,-0.658179,-0.298234
0.02,1.48029,0.0353575,0.5716,-0.952653
0.022,1.51509,0.15727,1.30548,-0.494892
0.024,1.49692,0.201145,-1.09398,-1.14399
0.026,1.60719,0.055651,1.96322,2.12039
0.028,1.49569,0.033543,-1.04052,-0.552862
0.03,1.56274,0.155475,2.2185,0.800743
0.032,1.62489,0.172639,0.69457,1.50372
0.034,1.51616,0.174874,-0.695579,-2.68285
0.036,1.43019,0.168652,1.42626,-1.16572
0.038,1.50396,0.147962,-1.69421,1.94354
0.04,1.49578,0.177354,-1.21866,-1.70162
0.042,1.61587,0.0366373,-1.57881,0.591919
0.044,1.54845,0.204995,1.90291,1.38837
0.046,1.59475,0.248639,-0.558294,0.0224313
0.048,1.59172,0.21701,-0.521891,-0.528109
0.05,1.48263,0.129889,-1.47507,-2.66278
0.052,1.51519,0.132898,-0.528452,1.36858
0.054,1.484,0.107663,1.52775,0.385888
0.056,1.52741,0.237475,-2.38459,-1.18245
0.058,1.53723,0.20104,-1.85515,0.262842
0.06,1.56817,0.145033,-3.10468,1.07073
0.062,1.52385,0.214853,-0.82341,-0.828902
0.064,1.584,0.170852,1.42153,2.809
0.066,1.33184,0.282745,-1.25672,0.46264
0.068,1.63073,0.370384,0.454748,1.53505
0.07,1.44978,0.203596,-1.85198,1.47866
0.072,1.40732,0.245944,-0.520519,2.09221
0.074,1.5958,0.261892,-0.0546322,-0.362772
0.076,1.53362,0.294826,-0.0027697,-1.31027
0.078,1.49611,0.375236,-1.88186,-0.440237
0.08,1.60544,0.384763,0.730842,-1.33621
0.082,1.49744,0.281538,1.12797,0.37823
0.084,1.4994,0.343647,-1.24789,-0.476929
0.086,1.48529,0.283697,-0.267215,0.855664
0.088,1.54229,0.271661,-0.192914,-0.785839
0.09,1.59611,0.380421,-1.84422,-3.00812
