#SusceptibilitySimulation(c: 1, N_neurons: 10000)TimeFrame(t_0: 0, t_end: 1000, dt: 0.005)WhiteNoiseSignal(alpha: 0.1, f_low: 0, f_high: 100)LIFAC(mu: 3.5, D: 0, tau_a: 5, Delta: 0.001)#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0.001,0.970224,0.000900572,-0.136441,-0.0795779
0.002,0.970379,0.000234274,-0.0775469,-0.0458638
0.003,0.969039,-0.000598164,0.0282981,-0.295043
0.004,0.970657,0.0013462,-0.180989,-0.10778
0.005,0.969385,0.000962808,-0.250111,0.0487783
0.006,0.968904,0.00128891,0.0646337,0.379492
0.007,0.969507,0.00235793,0.356842,0.0814749
0.008,0.969467,0.000589759,-0.0605231,-0.335286
0.009,0.971635,0.00145587,-0.0475067,0.21819
0.01,0.971555,0.00127397,-0.16215,-0.182534
0.011,0.971119,0.00450703,0.0340171,-0.19405
0.012,0.970749,0.00295905,-0.0621089,-0.176443
0.013,0.969436,0.00197451,0.052087,-0.0597164
0.014,0.971433,0.00284144,-0.0317761,0.0308737
0.015,0.970197,0.00233476,0.125589,-0.000332333
0.016,0.969201,0.00210019,0.291573,0.0640856
0.017,0.970101,0.00122113,0.00843468,-0.138041
0.018,0.971014,0.00124297,-0.0806522,0.24517
0.019,0.970255,0.00148198,-0.144383,-0.121135
0.02,0.970895,0.00204474,-0.218372,0.416976
0.021,0.97177,0.000907106,-0.295334,0.241734
0.022,0.969799,0.00221794,0.138642,0.106571
0.023,0.971197,0.00179938,0.120586,0.118461
0.024,0.972896,0.00222688,0.0874116,0.260534
0.025,0.969667,0.00346239,-0.128552,-0.265738
0.026,0.972217,0.00267017,-0.400002,0.18607
0.027,0.971487,0.00299373,0.340212,-0.533605
0.028,0.971458,0.00194761,-0.172039,-0.158935
0.029,0.972904,0.00137699,-0.370211,0.126893
0.03,0.971682,0.00198417,0.574839,-0.0985965
0.031,0.971469,0.00232086,-0.719843,0.278953
0.032,0.971433,0.00142424,0.350258,0.446788
0.033,0.973662,0.00238752,0.151822,0.276504
0.034,0.972335,0.0023536,-0.123879,-0.097294
0.035,0.972845,0.00229489,0.196851,-0.264409
0.036,0.971721,0.00180992,-0.181284,0.125984
0.037,0.972087,0.00185614,-0.122868,0.28516
0.038,0.970669,0.00345479,-0.0839237,-0.181676
0.039,0.972571,0.00238778,0.0734091,-0.406048
0.04,0.972593,0.00157568,0.00565389,0.168608
0.041,0.973314,0.00284162,0.388109,-0.137418
0.042,0.9721,0.00232006,0.00787103,0.169772
0.043,0.973163,0.00273127,-0.0654536,0.118442
0.044,0.973295,0.00125685,0.20585,-0.301992
0.045,0.973295,0.0006578,0.405073,0.0182254
0.046,0.973875,0.00216327,-0.245559,-0.010728
0.047,0.975098,0.00174392,-0.0224824,-0.185105
