# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,126.532,0,36.5267,0
0.002,1.36578,0.0163812,-0.00670724,-0.00465098
0.004,1.364,0.00994592,0.00395837,-0.00430433
0.006,1.35944,0.0238507,0.00259195,0.00165202
0.008,1.38186,0.0132557,-0.00153044,0.00630883
0.01,1.37005,0.0208857,0.00163278,0.00262996
0.012,1.36169,0.0383523,-2.52893e-05,-0.0049752
0.014,1.35276,0.040331,-0.00139691,0.00308005
0.016,1.36834,0.0192753,-0.00430987,-0.00781545
0.018,1.35809,0.0345969,-0.00573868,0.00352882
0.02,1.35969,0.0421425,0.003606,0.00274767
0.022,1.35841,0.051043,-0.00114833,-0.00273041
0.024,1.36669,0.0664853,-0.00158073,-0.00844949
0.026,1.36585,0.0528144,-0.00426133,-0.000523059
0.028,1.36017,0.0561055,-0.00162051,-0.00224892
0.03,1.35812,0.0799607,-0.00134202,-0.00324607
0.032,1.35583,0.0733919,0.000691333,-0.00134807
0.034,1.36863,0.0727181,-0.00586863,-6.38203e-05
0.036,1.37472,0.0902123,0.00125485,0.00334094
0.038,1.37438,0.0696388,0.00569319,0.000918258
0.04,1.37205,0.0900692,0.00654988,-0.00203006
0.042,1.35748,0.0782458,-0.00418665,-0.00470187
0.044,1.3766,0.107317,0.000854611,-0.00516458
0.046,1.37043,0.0982957,0.00622947,0.00172975
0.048,1.36106,0.09822,0.00283635,0.000407507
0.05,1.36087,0.118271,-0.00436466,-0.00123783
0.052,1.35946,0.130524,-0.00203236,-0.00176505
0.054,1.38017,0.10928,-0.0102936,-0.00355549
0.056,1.37157,0.12461,0.00349816,-0.00654314
0.058,1.34793,0.14788,0.000426654,-0.00264395
