# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 800
# dt = 0.005
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 300
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,161.009,0,36.7452,0
0.00125,1.35566,-0.0104726,-0.00270539,0.000560047
0.0025,1.35674,0.00149864,0.000837864,0.00491296
0.00375,1.34887,0.0196846,-0.00218262,0.00208136
0.005,1.37086,0.0198086,-0.001452,-0.00461885
0.00625,1.37099,0.0174142,0.000873439,0.00274529
0.0075,1.34392,0.0315093,-0.00154476,0.00349473
0.00875,1.35936,0.0244729,-0.000298245,-0.00180474
0.01,1.36126,0.0426802,0.00018343,0.00767135
0.01125,1.3593,0.0241473,-0.00224746,0.00198304
0.0125,1.3639,0.0147312,7.51468e-05,-0.00730067
0.01375,1.35676,0.0193304,0.0016199,0.00329743
0.015,1.35569,0.0316355,-0.000604276,-6.89415e-05
0.01625,1.34968,0.0525022,0.00354285,0.00194138
0.0175,1.36555,0.0276345,0.000709926,0.000891458
0.01875,1.37579,0.0391703,0.00274205,-0.00206726
0.02,1.36805,0.051557,0.00159854,-0.00058502
0.02125,1.37933,0.0391584,-0.00203479,0.00293437
0.0225,1.35228,0.0390667,-0.000559073,0.00022003
0.02375,1.36711,0.0654439,0.00249574,-0.000512276
0.025,1.35594,0.0421397,-0.00286176,0.000593401
0.02625,1.368,0.0471557,-0.0012085,0.000740013
0.0275,1.35774,0.0715996,-0.000301812,0.000872853
0.02875,1.35604,0.0614073,-0.00219872,-0.00383697
0.03,1.37366,0.0711582,-0.00484344,0.00390439
0.03125,1.38199,0.0523518,-0.00180873,0.00166972
0.0325,1.36309,0.083858,-3.61625e-05,0.000196866
0.03375,1.35865,0.0732593,-0.00226904,0.00200935
0.035,1.37119,0.0776977,-0.00107443,-0.00314586
0.03625,1.36008,0.0814975,0.00108649,-0.00480655
0.0375,1.35125,0.0984294,0.00134521,5.02307e-05
0.03875,1.37832,0.0948376,-2.90474e-05,-0.000968706
0.04,1.37078,0.0985276,-0.00340034,-0.00275108
0.04125,1.37369,0.112041,-0.00115391,0.00257952
0.0425,1.36036,0.0911026,-0.00243551,0.001414
0.04375,1.35533,0.0841768,0.0057168,0.00105087
0.045,1.36071,0.0987597,-0.00054324,0.00665803
0.04625,1.37407,0.105997,-0.00473441,-0.00211247
0.0475,1.37369,0.11196,-0.00344845,0.00108765
0.04875,1.35194,0.119356,-0.00338514,0.000908199
0.05,1.37193,0.103732,0.00170125,0.00395921
0.05125,1.36337,0.106321,0.00233734,-0.0029299
0.0525,1.36424,0.134084,-0.00259183,0.00159913
0.05375,1.36923,0.121615,-0.00425971,-0.00188481
0.055,1.37399,0.120109,-0.00474645,-0.00502303
0.05625,1.3771,0.137493,-0.00268727,-0.00410324
0.0575,1.36301,0.149703,-0.00457268,-0.000582968
0.05875,1.35895,0.139088,0.00567026,-0.00252277
0.06,1.37155,0.135964,0.00193439,-0.00253957
0.06125,1.37929,0.13451,-0.000449352,-0.000391004
0.0625,1.36606,0.143406,-0.0031517,-0.0018278
0.06375,1.39428,0.163066,-0.00183223,0.00406194
0.065,1.36993,0.150134,0.00343445,0.00220263
0.06625,1.37147,0.152205,-0.000984606,-0.00128326
0.0675,1.36511,0.152295,0.00921116,0.00425605
0.06875,1.35041,0.14947,-0.002617,-0.0046322
0.07,1.36625,0.13199,0.00622442,-0.000170913
0.07125,1.37888,0.171389,-0.00518616,0.00276518
0.0725,1.37845,0.177362,0.00348877,0.00363981
0.07375,1.38488,0.169782,0.0047167,-0.00481566
0.075,1.39076,0.18464,-0.0024048,0.00335145
0.07625,1.37772,0.170127,-0.00327923,0.00273525
0.0775,1.38639,0.191272,-0.00452226,-0.00487026
0.07875,1.36945,0.168854,-0.00501797,-0.000657733
0.08,1.38059,0.1662,-0.00157906,-0.000683589
0.08125,1.37261,0.194048,0.00245816,-0.000407494
0.0825,1.38559,0.186684,-0.00362254,0.000360679
0.08375,1.38552,0.205676,-0.0021851,0.00224126
0.085,1.38432,0.190345,-0.00162403,0.00330103
0.08625,1.38962,0.201029,-0.00281802,-0.00135457
0.0875,1.38275,0.203401,-0.00576859,-0.00574432
0.08875,1.37583,0.234851,0.00498572,-0.00252336
0.09,1.36337,0.204392,0.0019278,-0.00382086
0.09125,1.37578,0.222361,-0.00268567,-0.002026
0.0925,1.39652,0.216203,2.52252e-05,-0.000379807
0.09375,1.39752,0.219107,-0.00859875,0.00309315
0.095,1.38334,0.227945,-0.00300104,0.00163758
0.09625,1.3903,0.225642,-0.00454119,-0.00019217
0.0975,1.38398,0.220935,0.007768,-8.69981e-05
0.09875,1.36481,0.233814,0.011501,0.00047966
0.1,1.39149,0.236759,0.00132768,0.00380616
0.10125,1.39083,0.226102,0.000904266,-0.00494186
0.1025,1.37785,0.23638,0.00103492,-0.000996778
0.10375,1.37179,0.240743,0.00150929,-0.000850819
0.105,1.381,0.251972,-0.000252516,-0.00050223
0.10625,1.36733,0.256034,-0.00442791,-0.000816475
0.1075,1.412,0.255936,0.00361578,-0.00170589
0.10875,1.39064,0.256645,0.00191229,0.00277651
0.11,1.36564,0.249505,-0.00739816,0.00277014
0.11125,1.37726,0.256751,0.00244949,-0.00435742
0.1125,1.39707,0.281777,-0.00521422,-0.000219731
0.11375,1.39298,0.283035,-0.00110422,0.00278831
0.115,1.38232,0.278716,0.00832619,0.000853103
0.11625,1.39113,0.272652,0.00117393,0.00201126
0.1175,1.40824,0.276723,-0.00557472,0.00390153
0.11875,1.39592,0.282447,-0.00522533,0.00595725
0.12,1.38884,0.293587,0.00765216,-0.00864964
0.12125,1.3996,0.309878,0.00116758,0.000310933
0.1225,1.39163,0.293953,0.00413682,-0.00651006
0.12375,1.39227,0.288973,-7.63983e-05,-0.00102334
0.125,1.39535,0.313991,0.00524559,0.000388255
0.12625,1.40509,0.313951,-0.00310441,-0.00457083
0.1275,1.39539,0.301065,-0.000563901,0.00102203
0.12875,1.39885,0.323727,-0.00243101,-2.97815e-05
0.13,1.39507,0.318151,-0.00865529,0.00145348
0.13125,1.39057,0.346811,-0.0052123,0.000408647
0.1325,1.37906,0.332345,0.00138672,0.00332076
0.13375,1.40613,0.314765,-0.00221452,0.00535358
0.135,1.4013,0.341955,-0.00974121,0.000916642
0.13625,1.38745,0.336346,-0.00821339,0.00574163
0.1375,1.40798,0.33265,-0.00598212,-0.0153338
0.13875,1.41034,0.339255,-0.00563881,-0.0124041
0.14,1.41065,0.330992,-0.0067746,0.000593592
0.14125,1.39411,0.350659,-0.00542065,-0.01009
0.1425,1.41382,0.356933,0.0120485,-0.000520899
0.14375,1.38006,0.356644,0.00274266,0.00149699
0.145,1.39631,0.362989,0.00825105,0.00313838
0.14625,1.40102,0.354879,-0.00494539,0.000222492
0.1475,1.40937,0.359217,-0.00775656,-0.00691578
0.14875,1.41705,0.351918,-0.00334928,-0.000913227
0.15,1.41719,0.379645,-0.00195451,-0.00626513
0.15125,1.42019,0.401668,0.00457552,-0.0029908
0.1525,1.40559,0.391169,-0.000801962,-0.00226598
0.15375,1.40304,0.38342,-0.00512443,0.00439574
0.155,1.40702,0.405737,-0.00250562,-0.0106187
0.15625,1.43354,0.394875,-0.00753966,-0.00935823
0.1575,1.41939,0.389797,0.0150791,-0.00504418
0.15875,1.4118,0.384753,0.00161225,-0.00283414
0.16,1.40322,0.401161,-0.00552506,-0.019525
0.16125,1.41822,0.426565,-0.00143995,-0.00760218
0.1625,1.43259,0.39521,-0.0118113,0.021403
0.16375,1.40344,0.433743,-0.00127372,-0.0103405
0.165,1.42017,0.418822,0.00736026,0.00287753
0.16625,1.42544,0.43985,0.00763039,0.00229157
0.1675,1.40655,0.407707,-0.00169805,-0.0159206
0.16875,1.41959,0.432297,-0.000690459,-0.0103162
0.17,1.39768,0.433991,-0.00405038,-0.0022147
0.17125,1.42132,0.428218,-0.00667375,0.00220986
0.1725,1.42386,0.453186,0.00851405,0.00906527
0.17375,1.43131,0.468473,0.001927,-0.00683485
0.175,1.43723,0.452289,-0.00895572,-0.00171785
0.17625,1.40777,0.462341,-0.00610067,0.000924607
0.1775,1.42742,0.451459,-0.0155679,0.0124273
0.17875,1.42487,0.460919,-0.00727152,-0.00710799
0.18,1.41975,0.470484,0.00430684,-0.00772412
0.18125,1.404,0.477234,-0.00105593,-0.000774076
0.1825,1.43716,0.453432,-0.00874828,-0.000744503
0.18375,1.41728,0.483059,0.0124115,-0.0222315
0.185,1.45204,0.496273,-0.012483,0.00655875
0.18625,1.43289,0.493317,-0.019994,-0.00425444
0.1875,1.42602,0.506102,-0.00773177,-0.00906172
0.18875,1.43891,0.502068,-0.00380367,-0.00598124
0.19,1.47184,0.500824,-0.000394447,-0.0153318
0.19125,1.43059,0.502679,0.00442033,-0.00350454
0.1925,1.45207,0.532712,-0.00383812,0.0101755
0.19375,1.46796,0.488227,-0.00367666,0.000241218
0.195,1.4517,0.538361,-0.0127029,0.00560505
0.19625,1.4633,0.512992,-0.0177936,-0.0270322
0.1975,1.45242,0.524817,0.00543982,-0.029709
0.19875,1.443,0.518111,-0.00858112,0.010222
0.2,1.44049,0.55679,0.0250704,-0.00334797
0.20125,1.44831,0.5359,-0.00245172,-0.00726536
0.2025,1.45621,0.522899,-0.0185665,0.0167072
0.20375,1.47169,0.529108,-0.0147056,-0.0154647
0.205,1.46538,0.547268,-0.0310747,0.00162557
0.20625,1.43656,0.549579,-0.000580855,0.00412354
0.2075,1.48842,0.557656,-0.0444344,-0.0278344
0.20875,1.4693,0.561834,-0.0475351,-0.0531724
0.21,1.45152,0.563124,0.00184665,-0.00391422
0.21125,1.46333,0.59949,0.00333852,0.00862354
0.2125,1.45761,0.602257,-0.000361545,-0.0122663
0.21375,1.48672,0.604809,0.0261385,-0.00737389
0.215,1.49519,0.618111,-0.00412131,-0.0501829
0.21625,1.47892,0.620931,-0.043134,-0.0179986
0.2175,1.47417,0.597711,0.00310054,0.0326442
0.21875,1.48036,0.624039,-0.0240579,-0.00513335
0.22,1.4671,0.613166,-0.0259009,0.000679739
0.22125,1.45812,0.626428,0.0072741,0.0127971
0.2225,1.461,0.634681,0.0103796,0.0436553
0.22375,1.49235,0.619514,-0.0120006,-0.016433
0.225,1.51494,0.641409,-0.00127826,0.0396953
0.22625,1.47289,0.663008,0.0263064,-0.0194861
0.2275,1.49036,0.667644,-0.0131083,-0.00758025
0.22875,1.48486,0.629473,0.00989882,0.0315543
0.23,1.52277,0.642298,-0.0143874,0.0298496
0.23125,1.49871,0.667786,0.0135212,-0.0438126
0.2325,1.50917,0.661108,-0.0132292,0.00432782
0.23375,1.47737,0.671647,-0.0276104,-0.0185672
0.235,1.48061,0.692823,0.00238795,0.0135256
0.23625,1.51356,0.707901,-0.00971636,0.0480811
0.2375,1.49346,0.725288,-0.0529497,0.0216438
0.23875,1.49357,0.702137,-0.00897552,0.0308171
0.24,1.55211,0.715532,-0.02449,0.0291512
0.24125,1.50867,0.712748,0.0133517,0.0171462
0.2425,1.52611,0.699752,-0.0176032,0.000652356
0.24375,1.51448,0.740658,-0.0347749,0.0164322
0.245,1.52928,0.722074,0.00937086,0.00990067
0.24625,1.53994,0.715662,-0.00368371,0.041175
0.2475,1.55245,0.711935,0.00904311,0.0451799
0.24875,1.52342,0.754303,0.0214135,0.0163083
0.25,1.53781,0.732557,0.025301,0.0135397
0.25125,1.54306,0.788093,0.0043791,0.0112724
0.2525,1.51348,0.742878,-0.0445842,0.00761389
0.25375,1.56306,0.742692,-0.0107779,0.017999
0.255,1.53076,0.770559,0.00188774,0.0287475
0.25625,1.55749,0.79657,-0.011784,0.0496923
0.2575,1.51761,0.754495,-0.011432,0.00234425
0.25875,1.55027,0.796526,-0.0251382,0.0116676
0.26,1.56415,0.824996,0.0211308,-0.00147221
0.26125,1.57918,0.807935,0.00786984,-0.0319764
0.2625,1.55019,0.758875,-0.0196348,0.00229815
0.26375,1.57918,0.83763,0.0127122,0.00136383
0.265,1.57132,0.78798,0.0315223,0.034235
0.26625,1.59138,0.839697,-0.0101999,0.0115327
0.2675,1.5694,0.835146,-0.0270403,-0.0268851
0.26875,1.59657,0.83053,-0.00538126,0.00726937
0.27,1.60472,0.836618,0.0108784,-0.0139196
0.27125,1.57635,0.835081,0.00405664,-0.0221667
0.2725,1.58926,0.90391,-0.0130664,0.00489172
0.27375,1.63473,0.852412,-0.0111706,0.0110977
0.275,1.58062,0.909313,0.0135294,0.0247387
0.27625,1.61887,0.867542,0.0277367,0.0175581
0.2775,1.59642,0.896535,-0.0327316,0.00579998
0.27875,1.62766,0.903585,0.00959839,0.0292654
0.28,1.6404,0.889879,0.0027362,0.0179815
0.28125,1.6146,0.926608,0.0177905,0.0221388
0.2825,1.60307,0.90983,0.00710604,0.0163898
0.28375,1.62773,0.980917,0.0147624,-0.0139202
0.285,1.65259,0.890985,-0.0230362,0.0132209
0.28625,1.63464,0.929006,-0.0345938,0.0254882
0.2875,1.64915,0.930454,-0.00781252,0.0124837
0.28875,1.67534,0.958552,0.00855185,0.0132999
0.29,1.66698,0.965524,-0.0197719,0.00787777
0.29125,1.67515,1.05091,-0.00556749,0.0187516
0.2925,1.63045,0.987229,-0.00319401,0.0234565
0.29375,1.66426,0.96517,-0.00742527,-0.00445943
0.295,1.68273,0.996062,-0.020543,0.0123901
0.29625,1.69368,0.988356,-0.0256092,-0.00658261
0.2975,1.65656,0.980331,0.0167963,0.0326546
0.29875,1.71462,1.02493,0.0116164,0.0115442
0.3,1.68624,0.991176,-0.00521308,0.010728
0.30125,1.69534,0.98181,0.00236276,0.0251732
0.3025,1.72964,1.03511,0.00212695,0.00214967
0.30375,1.72405,1.06421,0.0109893,-0.00198612
0.305,1.70973,1.11222,-0.0103018,-0.00478064
0.30625,1.71273,1.1044,0.0074852,0.0223416
0.3075,1.7275,1.10759,0.0196209,-0.00726152
0.30875,1.71548,1.07595,0.0056273,-0.0101928
0.31,1.75861,1.11447,-0.0110915,0.013726
0.31125,1.73751,1.11881,0.0056092,0.0241761
0.3125,1.81737,1.13385,-0.0116935,0.00160484
0.31375,1.7479,1.11661,0.002045,0.0229949
0.315,1.78909,1.14025,0.0180589,0.0214856
0.31625,1.78093,1.12315,-0.000125899,0.00453448
0.3175,1.81702,1.22407,-0.00538777,0.0102435
0.31875,1.7603,1.18589,-0.0130109,0.01746
0.32,1.81193,1.19646,0.00407365,0.0049313
0.32125,1.77008,1.23586,-0.00871277,0.00242197
0.3225,1.83961,1.2151,-0.00954414,0.0114401
0.32375,1.85676,1.20059,-0.00682104,0.00958381
0.325,1.85902,1.2059,0.00362112,-0.0147831
0.32625,1.88628,1.21539,-0.0154362,-0.0119479
0.3275,1.84829,1.24078,0.00707045,0.0323897
0.32875,1.89087,1.25086,0.0181555,0.0146223
0.33,1.8427,1.29727,-0.0136489,0.0161755
0.33125,1.89105,1.31226,-0.024585,-0.0153194
0.3325,1.89223,1.24483,-0.00174038,0.00231992
0.33375,1.85293,1.25168,-0.00570935,-0.00635459
0.335,1.94349,1.28954,0.00753002,0.00555646
0.33625,1.95667,1.31544,-0.0176341,0.00213322
0.3375,1.91304,1.29686,0.0102677,0.0145753
0.33875,1.92085,1.30725,-0.00925118,-0.00238167
0.34,2.03172,1.26724,-0.00536772,0.0166161
0.34125,1.94811,1.39205,0.00225151,0.0261379
0.3425,2.03502,1.4074,0.0073818,0.0115118
0.34375,2.0362,1.39932,-0.00358087,0.0148184
0.345,2.01722,1.38998,0.0134175,0.0071707
0.34625,2.0703,1.35199,0.00465677,0.0124352
0.3475,2.05787,1.40585,-0.0180998,0.0189209
0.34875,2.04062,1.37485,0.00227211,0.00726906
0.35,2.01797,1.43737,-0.000301144,0.0151395
0.35125,2.07805,1.41325,0.0084384,0.00669809
0.3525,2.13379,1.40451,-0.0117221,0.0369333
0.35375,2.16368,1.44816,0.00962554,-0.00289139
0.355,2.12816,1.44721,0.0187667,0.0161565
0.35625,2.18899,1.44257,0.00129015,-0.00598385
0.3575,2.1286,1.5443,0.00372277,0.0129627
0.35875,2.09024,1.57829,0.00865741,0.00446104
0.36,2.14428,1.59352,0.00489169,-0.0146228
0.36125,2.21338,1.51022,0.00936573,0.024101
0.3625,2.28945,1.59562,-0.00127376,0.0167024
0.36375,2.15098,1.62172,0.00381118,0.02255
0.365,2.27465,1.55628,0.00832494,0.00490108
0.36625,2.23002,1.61181,-0.00633191,-0.00958561
0.3675,2.35198,1.5508,0.0117122,-0.000553417
0.36875,2.32216,1.63167,0.00114483,0.00587828
0.37,2.38256,1.57049,0.00264387,-0.00203729
