# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,127.053,0,36.6771,0
0.002,1.36512,0.00245958,-0.0007055,-3.62283e-05
0.004,1.36656,0.00847398,-0.00168613,0.000344087
0.006,1.36641,0.0135614,-0.00132364,0.000592113
0.008,1.36507,0.0175637,-0.000822019,-0.000138626
0.01,1.36556,0.0229662,-0.000754944,0.000266083
0.012,1.36543,0.0263574,-0.000933496,-0.000510507
0.014,1.36507,0.0329402,-0.00118105,-0.000718847
0.016,1.3662,0.0356312,-0.00133883,-0.000257473
0.018,1.36681,0.0407032,-0.000298545,-0.000466989
0.02,1.36779,0.0459309,-0.000606334,-0.000285848
0.022,1.36957,0.0522458,-0.000770851,-0.000683015
0.024,1.36724,0.0549097,-0.000341125,8.50605e-05
0.026,1.36779,0.0605161,-0.000444721,-0.000688462
0.028,1.36742,0.0641861,-0.001016,0.000169258
0.03,1.36706,0.0687979,-0.00132304,-0.000728645
0.032,1.36752,0.0741751,-0.000771554,-0.000521319
0.034,1.36683,0.0796162,-0.00112712,-0.000752923
0.036,1.36744,0.0835905,-0.00107963,0.000191332
0.038,1.36778,0.0862549,-0.00137331,-0.00071132
0.04,1.3686,0.0942573,-0.0013508,-0.000318258
0.042,1.36876,0.0975819,-0.00165975,-3.21659e-05
0.044,1.37042,0.102201,-0.000786777,-0.000241826
0.046,1.36954,0.107043,-0.00073804,-0.000475334
0.048,1.3697,0.111106,-0.00140623,-0.000695064
0.05,1.37057,0.117126,-0.00108172,-0.000755552
0.052,1.37156,0.120307,-0.00110238,-0.000709307
0.054,1.37112,0.124675,-0.000824049,-0.00116059
0.056,1.37117,0.130804,-0.00176508,-0.000846369
0.058,1.37131,0.136327,-0.000883936,-0.000344982
0.06,1.37143,0.139588,-0.00174882,-7.86193e-05
0.062,1.3718,0.144613,-0.00120184,-0.00152277
0.064,1.37191,0.14851,-0.000806866,-0.000628774
0.066,1.37406,0.153909,-0.00109156,-0.000524366
0.068,1.37548,0.158857,-0.00105947,-0.000553542
