# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.01
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,3.08546,0.238734,-33.8341,-39.5284
0.004,2.43798,3.15754,-14.8825,-68.3534
0.006,2.06842,1.11517,-27.3986,-11.2422
0.008,1.5464,1.18703,-18.7566,-58.6362
0.01,1.29833,0.249851,-29.2331,-26.0428
0.012,1.80672,0.952161,-29.7708,78.3166
0.014,3.69949,-3.89829,72.7565,-1.91423
0.016,-0.889217,-0.499896,11.0233,-19.8283
0.018,1.67117,-1.55909,0.793847,66.6911
0.02,4.61665,-2.02749,62.5882,22.5158
0.022,2.98953,-1.88323,-23.8525,6.29433
0.024,-1.14336,-0.534458,-11.3055,-22.8026
0.026,0.878488,1.03191,9.1065,12.0523
0.028,-1.2564,-0.329036,-11.6983,27.3015
0.03,0.549493,-0.497003,-22.066,-0.226894
0.032,-1.61516,0.269924,-21.2225,19.9748
0.034,1.26177,1.29877,13.5684,41.1754
0.036,5.17219,0.542612,30.9797,-18.4774
0.038,1.48876,4.15375,66.6038,18.1507
0.04,1.41428,3.23726,18.4828,-48.1632
0.042,1.58931,1.4944,-52.3367,-32.4909
0.044,-1.5272,2.05899,10.0937,-101.279
0.046,4.08484,-0.0516129,37.2507,27.0539
0.048,1.3644,-0.428071,102.32,116.439
0.05,-2.75077,-0.418561,-70.7368,42.348
0.052,0.808865,-1.71652,-20.9645,9.39295
0.054,-0.49561,0.335257,-8.30632,-52.1708
0.056,1.63577,2.32473,-33.4035,-11.456
0.058,2.65859,0.516529,55.8902,105.007
0.06,4.84448,0.559484,-76.7057,45.5066
0.062,1.88785,-1.8293,53.5776,20.4631
0.064,0.584105,-0.973247,73.138,70.7062
0.066,2.09947,1.08581,-1.07703,-22.5669
0.068,-1.81838,1.20785,92.1943,63.1081
0.07,-2.47071,-3.12201,-79.0307,-20.4181
0.072,3.23338,1.25832,-29.3614,110.224
0.074,3.14907,0.67726,16.9786,-89.9114
0.076,0.734015,2.20759,39.9806,-34.6649
0.078,4.46577,3.47766,-29.3332,-24.6271
0.08,-0.207145,1.95438,15.6374,-38.3184
0.082,2.83315,-0.283684,-10.8705,-103.017
0.084,1.64486,-0.215381,-72.0607,-15.6994
0.086,3.75703,3.28437,20.0621,-5.11797
0.088,2.56468,0.445741,-91.3937,26.9733
0.09,1.17005,-2.42877,14.3418,-26.0432
0.092,2.05841,-0.0622788,-86.4021,14.0546
0.094,0.364611,-0.740005,11.8268,-12.7897
0.096,1.28393,0.313437,-127.333,-13.6794
0.098,1.84704,-3.02385,6.90599,-14.7507
0.1,-0.512132,-0.931566,-11.2151,-60.1261
0.102,2.56378,1.42612,12.0836,50.3174
0.104,4.00612,1.0783,-119.717,-143.88
0.106,2.90457,2.2663,-39.4674,-21.0525
0.108,5.61195,1.58907,118.694,108.704
0.11,4.6392,-1.07002,94.2134,45.0985
0.112,2.11423,-0.500841,44.9556,45.0321
0.114,1.05208,4.54306,-7.30054,66.2616
0.116,0.742666,0.549239,11.1794,51.9787
0.118,1.06557,-0.224392,-0.998799,-135.574
0.12,0.575898,0.479787,-55.7209,-63.8089
0.122,3.90569,5.27756,-19.8732,-22.1013
0.124,1.58869,-0.185357,-86.1529,-93.4734
0.126,-3.03391,1.53484,118.447,-101.853
0.128,3.18747,1.92524,23.9393,44.4271
0.13,0.0215243,-0.071618,128.531,-165.309
0.132,-1.66496,1.54865,-54.4897,80.4874
0.134,4.51058,1.64423,108.902,-113.949
0.136,-0.738636,-5.03263,16.1114,173.294
0.138,1.34966,3.51128,-117.481,49.3505
0.14,-0.144432,2.96657,-15.9207,-61.796
0.142,3.33952,-1.296,-20.4151,2.09582
0.144,-0.755196,0.307206,-84.3778,-145.483
0.146,-2.79746,4.15789,-65.5162,-3.40178
0.148,3.63982,4.6963,-6.46217,-4.12713
0.15,-1.58117,0.188754,-5.91035,-9.08551
0.152,1.40552,1.43008,13.0021,-107.949
0.154,9.35381,1.03525,300.001,39.8169
0.156,4.49718,-3.13793,114.407,-25.6948
0.158,4.32707,0.886089,101.987,-110.486
0.16,-3.17798,0.244619,-59.4167,-73.7968
0.162,2.23207,2.37204,5.34284,20.8117
0.164,4.58079,3.09768,-174.594,-215.386
0.166,2.45763,4.70363,-148.927,-149.36
