# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.001,-0.00047825,-2.26459e-05
0.002,-0.000488633,3.97114e-06
0.003,-0.000450052,3.54903e-05
0.004,-0.000455862,-2.79347e-07
0.005,-0.000491423,2.42019e-05
0.006,-0.000460104,-9.05432e-07
0.007,-0.000474929,4.23611e-05
0.008,-0.000465034,2.20573e-05
0.009,-0.000449445,3.14138e-05
0.01,-0.000465528,2.635e-05
0.011,-0.000469803,3.01655e-05
0.012,-0.000461654,4.66138e-06
0.013,-0.000469378,5.27457e-05
0.014,-0.000484818,3.64912e-05
0.015,-0.000458552,4.16653e-05
0.016,-0.000469086,2.81875e-05
0.017,-0.000471523,4.50198e-05
0.018,-0.000485498,4.83291e-05
0.019,-0.000489788,4.32771e-05
0.02,-0.000477421,4.74067e-05
0.021,-0.000477827,2.89093e-05
0.022,-0.000462239,2.17054e-05
0.023,-0.00047196,6.24701e-05
0.024,-0.000476574,7.03716e-05
0.025,-0.000495615,8.10209e-05
0.026,-0.000458749,6.05576e-05
0.027,-0.000501114,9.1627e-05
0.028,-0.000489694,5.61331e-05
0.029,-0.00049153,8.66937e-05
0.03,-0.000431224,8.88528e-05
0.031,-0.000481335,9.02762e-05
0.032,-0.00047886,4.83953e-05
0.033,-0.000463346,8.2964e-05
0.034,-0.000484688,4.09197e-05
0.035,-0.000459963,7.11601e-05
0.036,-0.000454398,0.000107153
0.037,-0.000463724,0.000104007
0.038,-0.000482131,7.74337e-05
0.039,-0.000492551,7.81667e-05
0.04,-0.000476166,8.00463e-05
0.041,-0.000467283,6.89704e-05
0.042,-0.00042866,9.12754e-05
0.043,-0.00044748,0.000109748
0.044,-0.000459201,0.000125839
0.045,-0.00047044,8.69563e-05
0.046,-0.000466909,0.000101878
0.047,-0.000463169,0.00010971
0.048,-0.000441631,9.95362e-05
0.049,-0.000478737,0.000122727
0.05,-0.00047814,9.72496e-05
0.051,-0.00048084,0.000115381
0.052,-0.000481088,0.000139327
0.053,-0.000463697,0.000116323
0.054,-0.000461439,0.000114714
0.055,-0.000446002,0.000156699
0.056,-0.000473048,8.82449e-05
0.057,-0.000500753,0.000138087
0.058,-0.00045703,0.000108304
0.059,-0.000434626,0.000143151
0.06,-0.000471651,0.000150474
0.061,-0.000448747,0.000167945
0.062,-0.000497101,0.000128245
0.063,-0.000457255,0.000160932
0.064,-0.000465217,0.000133576
0.065,-0.000455804,0.000119978
0.066,-0.000465677,0.000153862
0.067,-0.000471684,0.000158338
0.068,-0.000447356,0.00014817
0.069,-0.000445463,0.000142504
0.07,-0.00042832,0.000150646
0.071,-0.000429285,0.000172438
0.072,-0.0004592,0.000156109
0.073,-0.000434209,0.000161957
0.074,-0.000456594,0.000173738
0.075,-0.000430889,0.000174514
0.076,-0.000443761,0.000190171
0.077,-0.000466567,0.000189942
0.078,-0.000482673,0.000179381
0.079,-0.00048924,0.000174135
0.08,-0.000458719,0.000175834
0.081,-0.000464376,0.000167929
0.082,-0.000459578,0.000232433
0.083,-0.000472656,0.00018747
0.084,-0.000471673,0.000194351
0.085,-0.000469248,0.000181504
0.086,-0.000460989,0.000202735
0.087,-0.000458597,0.000198836
0.088,-0.000471714,0.000208862
0.089,-0.000442621,0.00019965
0.09,-0.000460179,0.000207825
0.091,-0.000471381,0.000243918
0.092,-0.000449568,0.00019819
0.093,-0.00043707,0.000258901
0.094,-0.000433985,0.000193291
0.095,-0.00047164,0.000255533
0.096,-0.000444569,0.000234615
0.097,-0.000477981,0.000225998
0.098,-0.000482552,0.000252004
0.099,-0.000481869,0.000244501
0.1,-0.000447846,0.000250603
0.101,-0.000427127,0.000233863
0.102,-0.00044386,0.000240544
0.103,-0.000448708,0.000259388
0.104,-0.000441582,0.000274142
0.105,-0.000464044,0.00026279
0.106,-0.000433675,0.00029127
0.107,-0.000456878,0.000246243
0.108,-0.000473349,0.000276916
0.109,-0.000436675,0.000287701
0.11,-0.00045127,0.00027234
0.111,-0.000424763,0.00028987
0.112,-0.000434179,0.000298548
0.113,-0.000443232,0.000290609
0.114,-0.000426323,0.000261291
0.115,-0.000474383,0.000297373
0.116,-0.000446125,0.000297836
0.117,-0.000473954,0.000286839
0.118,-0.00045748,0.000344596
0.119,-0.000430919,0.000336184
0.12,-0.000444007,0.000290111
0.121,-0.000453855,0.000342889
0.122,-0.000430799,0.000285075
0.123,-0.000427157,0.000325484
0.124,-0.000439298,0.000372175
0.125,-0.000442727,0.000320786
0.126,-0.000408778,0.000304899
0.127,-0.000396007,0.00033704
0.128,-0.000412662,0.000350354
0.129,-0.000434036,0.000387671
0.13,-0.000362257,0.000383735
0.131,-0.000431953,0.000416925
0.132,-0.00042732,0.000362673
0.133,-0.000396374,0.000353793
0.134,-0.000452591,0.000330863
0.135,-0.000437934,0.000330859
0.136,-0.000400979,0.000376094
0.137,-0.000403734,0.000390359
0.138,-0.000376383,0.000389881
0.139,-0.000397653,0.000409678
0.14,-0.00040169,0.000386286
0.141,-0.000415649,0.000409029
0.142,-0.000418938,0.000411545
0.143,-0.00040184,0.00039684
0.144,-0.000424389,0.000505339
0.145,-0.000416943,0.000455636
0.146,-0.000363749,0.000422302
0.147,-0.000370698,0.000375144
0.148,-0.000397341,0.000475976
0.149,-0.000411693,0.00047601
0.15,-0.000371027,0.000481485
0.151,-0.000346049,0.00043832
0.152,-0.00035197,0.000465428
0.153,-0.000389159,0.000472154
0.154,-0.000389142,0.000472291
0.155,-0.000329751,0.000478466
0.156,-0.000399681,0.000476491
0.157,-0.00035381,0.000474665
0.158,-0.000365447,0.000558451
0.159,-0.000338791,0.000506689
0.16,-0.000319017,0.000501423
0.161,-0.000354732,0.000582294
0.162,-0.000338758,0.000460811
0.163,-0.000333445,0.000510729
0.164,-0.000256283,0.000532726
0.165,-0.000295874,0.0005235
0.166,-0.00031511,0.000527884
0.167,-0.000262535,0.000560568
0.168,-0.000318822,0.000573197
0.169,-0.000310524,0.000623328
0.17,-0.000286798,0.00051379
0.171,-0.000310408,0.000569022
0.172,-0.000234881,0.000598528
0.173,-0.000319998,0.000581191
0.174,-0.000339022,0.000493794
0.175,-0.000281834,0.000602139
0.176,-0.000264186,0.000609479
0.177,-0.000281703,0.000604849
0.178,-0.000337086,0.000615437
0.179,-0.000199605,0.000607851
0.18,-0.000335634,0.000694527
0.181,-0.000291995,0.000638992
0.182,-0.000225365,0.000654298
0.183,-0.00025493,0.000570187
0.184,-0.000184727,0.000668378
0.185,-0.00018104,0.000722634
0.186,-0.000270356,0.000715028
0.187,-0.000175365,0.000661706
0.188,-0.000216922,0.00070658
0.189,-0.00022172,0.000678544
0.19,-0.000182763,0.000593559
0.191,-0.000173944,0.000780641
0.192,-0.000154343,0.000789655
0.193,-0.000119752,0.000713603
0.194,-0.000127464,0.000711423
0.195,-0.000141667,0.000746795
0.196,-0.000135097,0.000622787
0.197,-7.19415e-05,0.000754018
0.198,-6.38332e-05,0.000768411
0.199,-7.76507e-06,0.000709054
0.2,-2.21207e-05,0.000659391
0.201,-6.44817e-06,0.000774591
0.202,7.53659e-05,0.000804183
0.203,2.30287e-05,0.000750281
0.204,-8.2201e-05,0.000847098
0.205,4.6419e-05,0.000777397
0.206,3.82778e-05,0.000675002
0.207,0.000175058,0.000700691
0.208,0.000256062,0.000728508
0.209,0.000156182,0.000725334
0.21,0.000125828,0.000815705
0.211,0.000249313,0.000735689
0.212,0.000152859,0.000733377
0.213,0.000277002,0.00071196
0.214,0.000224486,0.000750894
0.215,0.000208475,0.000626644
0.216,0.000282786,0.000812797
0.217,0.000285651,0.000752192
0.218,0.00029498,0.000703598
0.219,0.000360652,0.000747693
0.22,7.27182e-05,0.000742397
0.221,0.000395934,0.000663901
0.222,0.000364449,0.000655707
0.223,0.000292097,0.000617415
0.224,0.00040296,0.000726343
0.225,0.000494945,0.00053162
0.226,0.000365869,0.000664806
0.227,0.000447592,0.00055147
0.228,0.000452862,0.000499384
0.229,0.000565706,0.00047807
0.23,0.00055675,0.000550672
0.231,0.000441966,0.00042438
0.232,0.000554795,0.000503095
0.233,0.000512593,0.000348902
0.234,0.000533875,0.000506728
0.235,0.000499891,0.000316058
0.236,0.000532251,0.000504616
0.237,0.000588584,0.00035754
0.238,0.000589117,0.000243313
0.239,0.000397566,0.00034647
0.24,0.000551546,0.000335988
0.241,0.000515223,0.000187899
0.242,0.00054562,0.000252129
0.243,0.000697105,0.000157806
0.244,0.000515774,0.000183791
0.245,0.000637727,8.46295e-05
0.246,0.000462926,2.3842e-05
0.247,0.000395477,0.000147453
0.248,0.000574662,0.000110519
0.249,0.000456048,0.000152917
0.25,0.000563846,8.62958e-05
0.251,0.000731057,5.76684e-05
0.252,0.000599733,-8.72129e-06
0.253,0.000380811,6.21993e-05
0.254,0.000382552,-0.000134777
0.255,0.00044975,5.55381e-05
0.256,0.000390945,-7.66357e-05
0.257,0.000420201,-1.05011e-05
0.258,0.000488696,-9.0811e-06
0.259,0.000420106,0.000119975
0.26,0.000378597,-0.000109262
0.261,0.000482711,2.15719e-05
0.262,0.000342336,0.00012224
0.263,0.000392279,-9.35631e-05
0.264,0.000311783,-1.35427e-05
0.265,0.00026551,-0.000131178
0.266,0.000363516,-0.000197905
0.267,0.000159807,-0.000154881
0.268,0.000233867,4.79131e-05
0.269,0.00020609,-0.0001004
0.27,0.000313555,-0.000135125
0.271,0.00024506,-4.75775e-05
0.272,0.000113577,-0.000123224
0.273,0.000205161,-0.000119625
0.274,3.63175e-05,-0.000133651
0.275,0.000146885,-2.89008e-05
0.276,0.00028998,-0.000165894
0.277,0.000171707,-0.000184417
0.278,6.24753e-05,-0.000142769
0.279,-1.24224e-05,-0.000155812
0.28,0.000204076,-5.13272e-05
0.281,0.000166986,-0.000135662
0.282,0.000121227,-0.000198923
0.283,2.61631e-05,-9.00024e-05
0.284,8.72651e-05,-0.000271523
0.285,0.000216219,-0.000182708
0.286,-1.21032e-05,-0.000112621
0.287,4.66094e-05,-4.7705e-06
0.288,7.7083e-05,-0.000226338
0.289,0.00011018,-7.56381e-05
0.29,2.743e-05,-0.000105372
0.291,7.06313e-05,-0.000169554
0.292,-1.89121e-06,-4.57718e-05
0.293,-1.65526e-05,-0.000114012
0.294,-3.25523e-05,-0.000113597
0.295,4.57011e-05,-9.2832e-05
0.296,7.22402e-05,9.4044e-06
0.297,-3.92981e-05,-6.84835e-05
0.298,1.28673e-05,-8.3682e-05
0.299,-5.23036e-05,-0.000116901
0.3,-8.95437e-06,-0.000116089
0.301,-3.43661e-05,-9.70319e-05
0.302,-0.000156834,-7.43386e-05
0.303,7.71974e-05,-1.52029e-05
0.304,-8.02943e-05,-0.000104058
0.305,-2.9224e-05,-4.07778e-05
0.306,2.54294e-05,-0.000129266
0.307,-3.6035e-05,-7.6311e-05
0.308,-2.81278e-05,2.69788e-05
0.309,1.55681e-05,-1.93617e-05
0.31,-0.000169637,-8.91159e-05
0.311,-1.59116e-05,-9.67283e-05
0.312,-6.12162e-06,-2.87342e-05
0.313,-4.92804e-05,-1.61641e-05
0.314,-9.15543e-05,1.41038e-05
0.315,-0.000125736,-6.2352e-05
0.316,-8.37677e-05,-3.7569e-05
0.317,-4.22366e-05,3.20303e-05
0.318,-0.000180937,-1.72003e-05
0.319,-7.32493e-05,5.82361e-06
0.32,-8.24575e-05,-4.57177e-05
0.321,-6.59626e-05,-6.7561e-05
0.322,-5.29426e-05,-3.4441e-05
0.323,-0.000118659,-4.94129e-05
0.324,-0.000257336,-2.15597e-05
0.325,-3.52621e-05,-6.93116e-05
0.326,-0.000137413,-1.37502e-05
0.327,-0.000106368,-3.25285e-05
0.328,-0.000109076,-7.05465e-05
0.329,-0.000127923,-5.33844e-06
0.33,-6.49343e-05,-3.76838e-05
0.331,-0.000149899,2.82808e-05
0.332,-8.69378e-05,-9.12528e-05
0.333,-0.000124477,8.06132e-05
0.334,-0.000265454,-5.83192e-05
0.335,-0.000103363,-7.9437e-06
0.336,-0.000157363,-5.22162e-05
0.337,-3.80588e-05,-2.83472e-06
0.338,-0.00012116,0.000124346
0.339,-0.000179843,2.60421e-05
0.34,-0.000167446,-3.02916e-05
0.341,-0.000215342,3.91155e-05
0.342,-0.000129556,3.95127e-05
0.343,-2.83407e-05,9.69143e-05
0.344,-0.000146283,5.38572e-05
0.345,-0.000162133,7.8673e-05
0.346,6.75046e-06,-3.30015e-05
0.347,-0.000143445,3.64108e-05
0.348,-1.83519e-05,-3.06462e-05
0.349,-0.000155059,-1.43199e-05
0.35,-0.000148674,3.03783e-05
0.351,-0.00013785,5.6406e-05
0.352,-6.54065e-05,-8.32884e-06
0.353,-0.000164097,8.8899e-05
0.354,-9.97672e-05,0.000111946
0.355,-8.5055e-05,6.27992e-05
0.356,-0.000105624,0.000107353
0.357,-5.29963e-05,6.97156e-05
0.358,-0.000118143,9.22506e-05
0.359,-0.000146061,0.000124599
