# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.001,1.31329,7.88011e-05
0.002,1.31389,0.00259972
0.003,1.31539,0.0082093
0.004,1.31494,0.00422783
0.005,1.31379,0.00946605
0.006,1.31422,0.00916755
0.007,1.3137,0.0110506
0.008,1.30901,0.0134914
0.009,1.3112,0.0198713
0.01,1.31625,0.0195881
0.011,1.31789,0.0219042
0.012,1.31403,0.0218224
0.013,1.31914,0.0241659
0.014,1.31444,0.0289422
0.015,1.31352,0.0256542
0.016,1.31495,0.0269191
0.017,1.31409,0.033136
0.018,1.31486,0.0328128
0.019,1.31711,0.0322714
0.02,1.3076,0.038927
0.021,1.31278,0.0387773
0.022,1.31339,0.0395772
0.023,1.31615,0.0396725
0.024,1.31385,0.0456568
0.025,1.31426,0.0459664
0.026,1.31703,0.0501811
0.027,1.31634,0.050003
0.028,1.3146,0.0556912
0.029,1.31699,0.0566764
0.03,1.31383,0.0586984
0.031,1.31513,0.0599056
0.032,1.31411,0.059834
0.033,1.30988,0.0602866
0.034,1.31644,0.0628427
0.035,1.31484,0.0636904
0.036,1.31726,0.0688498
0.037,1.31963,0.0755254
0.038,1.31611,0.0743545
0.039,1.31936,0.0724709
0.04,1.31969,0.0781016
0.041,1.31478,0.0795013
0.042,1.31861,0.0783329
0.043,1.31537,0.0836798
0.044,1.3169,0.0851063
0.045,1.31886,0.087662
0.046,1.31855,0.0900032
0.047,1.31941,0.0870629
0.048,1.31507,0.0918689
0.049,1.3129,0.0908811
0.05,1.31121,0.0931993
0.051,1.31725,0.0964446
0.052,1.31647,0.0993416
0.053,1.31865,0.103354
0.054,1.32658,0.101488
0.055,1.31828,0.10884
0.056,1.31959,0.108105
0.057,1.32247,0.112873
0.058,1.32126,0.111557
0.059,1.31938,0.111896
0.06,1.31871,0.11307
0.061,1.32325,0.116248
0.062,1.32463,0.120979
0.063,1.3182,0.119591
0.064,1.32602,0.125937
0.065,1.31949,0.123797
0.066,1.32231,0.123943
0.067,1.32094,0.130883
0.068,1.32103,0.132371
0.069,1.32653,0.130745
0.07,1.32403,0.135946
