# SusceptibilitySimulation
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.02
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.34102,-0.393499,2.57788,1.88029
0.004,1.31126,-0.187293,1.26154,0.396445
0.006,1.75566,-0.225416,1.08996,-0.755382
0.008,1.65697,-0.303719,-4.01362,-1.84012
0.01,1.37548,-0.0407712,2.21553,4.40885
0.012,0.90116,0.0205274,0.973376,-0.980491
0.014,1.04737,-0.234184,2.35128,3.80498
0.016,1.4512,0.0413926,0.448424,-4.49693
0.018,2.21399,0.00233759,-4.41421,0.610518
0.02,1.38135,0.223333,1.03889,-0.927534
0.022,1.11265,0.00790176,1.10348,2.57718
0.024,1.42001,0.248425,-10.0597,1.84999
0.026,1.41539,-0.084195,2.82883,1.80741
0.028,1.38785,0.408198,1.56242,-3.82235
0.03,1.25278,0.301879,1.53116,4.41844
0.032,1.14655,0.101712,-3.28937,4.64464
0.034,1.45307,0.0134384,1.43754,-2.49965
0.036,1.53395,0.525297,5.1673,-0.804966
0.038,1.2877,0.487208,-1.0792,-2.08725
0.04,1.37988,0.115153,-5.48617,1.44794
0.042,1.82684,-0.17273,3.15898,2.93893
0.044,1.89768,-0.0470576,0.542094,-1.45977
0.046,1.68094,-0.147136,3.00964,5.08076
0.048,1.09634,0.449419,2.15624,4.84297
0.05,1.96162,0.120728,-1.37096,-2.28209
0.052,1.87808,0.422025,-2.72788,-1.52536
0.054,1.30983,0.380787,0.283995,-0.647592
0.056,2.0012,0.144013,-4.30949,0.661265
0.058,1.34339,0.42527,2.90456,1.87005
0.06,1.57073,0.526434,0.458184,1.56175
0.062,1.54663,0.510208,-4.14709,-2.2159
0.064,1.49736,0.146231,-4.75358,5.85559
0.066,1.71135,-0.122055,4.35429,7.27382
0.068,0.944305,-0.00383485,3.16307,-0.947342
0.07,0.951656,0.378191,-3.62981,-6.13014
0.072,1.07837,0.93539,-1.10492,-2.14894
0.074,1.35198,-0.00399522,2.74883,-10.1436
0.076,1.39517,0.0212721,1.50203,-2.99626
0.078,1.44068,-0.179782,3.1798,-0.991191
0.08,0.949721,-0.368423,-7.02453,2.24044
0.082,2.09373,-0.199725,3.50697,0.572971
0.084,1.50843,0.233492,-3.41248,2.33478
0.086,2.13202,0.295373,-1.20939,-5.14528
0.088,1.24268,0.493045,1.44698,0.75382
0.09,2.15578,0.149431,7.46223,-4.10153
0.092,1.74095,-0.0448413,-1.68811,-2.48883
0.094,1.5701,0.23257,0.401086,4.63457
0.096,1.79465,0.172153,3.36073,1.7912
0.098,2.4857,0.723632,-1.18442,-1.30278
0.1,1.2327,0.84077,2.39412,0.0141242
0.102,1.14338,0.0543287,-5.75976,0.624296
0.104,1.99602,0.889372,5.64071,-2.69053
0.106,1.98393,0.871681,-0.359131,-4.67044
0.108,1.60609,0.476859,0.169918,-1.75847
0.11,1.63457,0.653605,-2.69297,9.14654
0.112,0.70249,0.697015,4.49979,-0.285025
0.114,1.31966,0.17376,6.2419,-2.25856
0.116,1.50801,0.900169,-2.78627,1.10943
0.118,1.51475,0.535912,-10.5362,3.99147
0.12,1.75271,0.526764,-11.6074,-0.437382
0.122,1.06369,0.376006,-4.02957,-4.78074
0.124,1.5722,-0.00108554,-1.71586,0.244485
0.126,1.03515,0.633575,-9.48089,6.9274
0.128,2.01211,0.796326,10.3496,8.30744
0.13,1.93468,0.749268,-1.2685,13.1755
0.132,1.30726,0.340258,-1.87296,-1.65666
0.134,1.40225,0.757723,-8.77733,7.18946
0.136,1.72737,1.33916,5.76372,6.69015
0.138,1.01518,0.482064,-1.18417,-6.44347
0.14,1.02735,0.522299,10.9761,-1.26955
0.142,2.16733,0.285059,-6.86754,-8.00654
0.144,1.76921,0.954326,-9.22759,14.6175
0.146,1.43556,0.465905,-3.60719,-3.17512
0.148,1.55526,0.400504,-12.6937,7.14757
0.15,1.81003,0.37955,-0.892337,-2.8025
0.152,1.31023,-0.0342241,16.4851,-4.26432
0.154,1.43075,0.790948,19.8252,3.8059
0.156,1.09168,1.20407,-13.6649,-12.787
0.158,1.04967,1.03335,2.62214,-13.5865
0.16,0.80043,0.841179,5.75261,4.33563
0.162,0.984247,1.40382,-10.5142,-0.345504
0.164,1.84898,0.49598,16.4672,-3.77564
0.166,1.16731,0.990055,7.07476,-3.47031
0.168,1.20748,0.491855,19.6778,-5.38264
0.17,1.65247,1.1367,-25.5493,-4.9355
0.172,1.47084,1.39097,6.25894,6.67433
0.174,1.41469,0.807651,9.91444,21.1508
0.176,1.56062,1.0315,-7.33073,5.80314
0.178,1.47143,1.41436,-4.85375,27.2603
0.18,1.26488,0.654051,3.33355,13.6237
0.182,1.62494,1.03128,8.88648,12.6013
0.184,1.64868,1.03997,13.4547,-10.1737
0.186,2.19503,0.0523954,-25.099,-2.95508
0.188,1.87437,0.572081,29.7888,-22.2202
0.19,1.74645,1.2809,-1.63998,13.061
0.192,0.804233,0.729014,-32.0975,12.1021
0.194,1.1205,0.579037,-0.198281,-0.556529
0.196,1.36042,0.803356,22.3017,-8.28558
0.198,2.29127,0.808612,-80.8984,4.39938
0.2,1.99773,0.294352,44.1955,34.1457
0.202,2.48679,1.2063,-33.4555,-1.88582
0.204,1.65238,0.866997,-37.7293,84.8529
0.206,1.31824,1.6411,17.8185,-64.9968
0.208,1.44283,1.26665,-45.579,91.0185
0.21,1.60496,1.19318,-48.8273,-72.9768
0.212,2.06429,0.831938,4.95511,81.7138
0.214,0.896009,0.99496,83.5194,47.1139
0.216,1.48692,1.32441,-118.942,-10.4065
0.218,2.08429,0.779488,27.6656,141.5
0.22,2.14708,1.12553,6.78971,23.3046
0.222,0.925495,2.21659,-63.99,39.8196
0.224,2.46125,0.320481,-5.1877,-47.2197
0.226,0.742806,1.23903,59.7621,13.1216
0.228,1.05406,0.486601,-18.4011,-24.3819
0.23,2.0899,0.967982,10.0658,-28.3188
0.232,1.06905,1.03778,-1.59829,-7.06414
0.234,1.22406,1.48768,1.62208,-27.6924
0.236,1.36841,0.411969,-19.9452,-36.6732
0.238,1.21283,0.969965,-10.7196,-1.60085
0.24,1.06557,1.16535,-9.49117,-19.8058
0.242,0.910464,1.2294,-8.49698,1.36588
0.244,1.272,1.70583,12.3437,-17.7423
0.246,0.709564,1.47121,16.987,-2.09943
0.248,2.07476,1.09804,40.3239,-30.9235
0.25,2.65485,2.91647,-16.3038,23.5786
0.252,1.40748,1.66682,-5.16026,11.6527
0.254,2.2212,1.25091,3.87683,5.27969
0.256,1.26942,1.77582,-9.24605,0.199214
0.258,2.29213,2.01891,13.6553,-23.0259
0.26,2.40765,2.42654,4.22096,18.7892
0.262,1.69477,0.538659,25.9838,9.84573
0.264,1.81581,1.69672,-15.843,-23.8781
0.266,1.58132,0.137905,19.5795,-0.701365
0.268,0.538249,1.85266,-12.6303,-8.47446
0.27,1.78339,1.55224,19.7156,-14.3199
0.272,0.442633,1.46865,-15.5423,-1.939
0.274,1.14942,0.302772,19.8679,-10.007
0.276,1.41831,0.690052,19.5566,18.1781
0.278,2.11295,2.44015,22.5001,-0.313817
0.28,1.40706,1.5746,-18.6498,-6.12169
0.282,1.92163,2.61248,-16.9263,5.85719
0.284,2.74496,0.852652,-10.3442,-14.1358
0.286,2.09255,1.37643,16.0986,-0.129072
0.288,1.12501,2.46368,2.33197,-8.49716
0.29,0.425254,1.50099,-4.25529,19.3026
0.292,0.598462,1.26504,1.19806,-6.31987
0.294,-0.379927,1.5718,7.62979,7.60334
0.296,2.70893,0.0882829,-15.0856,-0.316272
0.298,0.766641,1.10249,-0.837965,-6.18722
0.3,1.91926,0.481609,-6.9596,-46.2401
0.302,2.60183,1.82028,26.8178,15.0204
0.304,2.34298,1.61965,-16.0294,5.33569
0.306,2.03125,1.7177,9.54659,11.6394
0.308,2.31613,2.25635,9.51656,5.43947
0.31,1.02321,1.56705,6.51696,5.62878
0.312,2.05422,3.51497,23.9561,-0.996245
0.314,1.80726,2.25776,-2.52298,-16.8539
0.316,-0.758049,2.30856,27.5215,-11.7576
0.318,1.99179,2.07055,2.53764,7.20047
0.32,2.0481,3.68872,14.6702,0.787698
0.322,2.77891,1.54968,-2.40377,21.3672
0.324,1.67672,1.85688,-20.8879,-1.54227
0.326,0.412229,1.31045,2.13503,-18.5072
0.328,2.03794,1.47705,-4.05685,11.4327
0.33,2.4052,1.70288,0.622508,12.0615
0.332,-0.307181,3.84879,4.55416,-2.76358
0.334,1.169,3.98219,-6.44858,-18.5061
0.336,2.57793,3.04715,-20.8707,21.5556
0.338,2.91565,1.80697,21.6274,-4.88735
0.34,5.29044,3.34564,10.8405,-10.1057
0.342,-0.39904,4.99582,15.0097,-0.603505
0.344,-1.03881,3.54839,-4.38252,11.4612
0.346,1.91891,1.45459,10.0998,-12.6253
0.348,5.72994,4.63596,3.18489,-11.8107
0.35,2.67351,3.15635,38.2036,-3.93933
0.352,1.449,4.48533,-5.55388,6.38662
0.354,2.49162,5.96824,-7.1846,-32.8755
0.356,1.85611,4.64961,-8.05136,3.81736
0.358,3.27122,0.934814,2.92267,-29.0425
0.36,3.32401,2.92757,14.3539,-18.2899
0.362,3.24564,4.76403,18.8675,-5.26841
0.364,1.1071,2.02717,-22.5109,-23.6482
