# FiringRateSimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.02
# f_low = 0
# f_high = 50
#
# Data format:
# Time, Firing rate
#
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0
1.57,0
1.58,0
1.59,0
1.6,0
1.61,0.010002
1.62,0.010002
1.63,0
1.64,0
1.65,0
1.66,0.010002
1.67,0
1.68,0.010002
1.69,0
1.7,0.030006
1.71,0.040008
1.72,0.020004
1.73,0.060012
1.74,0.040008
1.75,0.040008
1.76,0.030006
1.77,0.040008
1.78,0.090018
1.79,0.070014
1.8,0.060012
1.81,0.15003
1.82,0.180036
1.83,0.210042
1.84,0.15003
1.85,0.280056
1.86,0.260052
1.87,0.240048
1.88,0.40008
1.89,0.270054
1.9,0.30006
1.91,0.310062
1.92,0.380076
1.93,0.480096
1.94,0.580116
1.95,0.65013
1.96,0.640128
1.97,0.640128
1.98,0.760152
1.99,0.670134
2,0.730146
2.01,0.620124
2.02,0.940188
2.03,0.940188
2.04,0.980196
2.05,1.13023
2.06,0.970194
2.07,0.820164
2.08,0.890178
2.09,0.970194
2.1,1.38028
2.11,1.22024
2.12,1.28026
2.13,1.39028
2.14,1.34027
2.15,1.28026
2.16,1.42028
2.17,1.37027
2.18,1.24025
2.19,1.30026
2.2,1.42028
2.21,1.29026
2.22,1.4803
2.23,1.47029
2.24,1.54031
2.25,1.69034
2.26,1.45029
2.27,1.63033
2.28,1.43029
2.29,1.4803
2.3,1.47029
2.31,1.32026
2.32,1.39028
2.33,1.68034
2.34,1.46029
2.35,1.47029
2.36,1.54031
2.37,1.31026
2.38,1.43029
2.39,1.47029
2.4,1.22024
2.41,1.5103
2.42,1.21024
2.43,1.23025
2.44,1.15023
2.45,1.26025
2.46,1.17023
2.47,1.10022
2.48,1.07021
2.49,1.07021
2.5,1.05021
2.51,1.06021
2.52,1.04021
2.53,0.890178
2.54,0.85017
2.55,1.19024
2.56,0.780156
2.57,1.06021
2.58,0.770154
2.59,0.730146
2.6,0.85017
2.61,0.730146
2.62,0.710142
2.63,0.790158
2.64,0.610122
2.65,0.580116
2.66,0.580116
2.67,0.680136
2.68,0.670134
2.69,0.570114
2.7,0.470094
2.71,0.540108
2.72,0.5001
2.73,0.35007
2.74,0.480096
2.75,0.390078
2.76,0.330066
2.77,0.370074
2.78,0.440088
2.79,0.45009
2.8,0.45009
2.81,0.360072
2.82,0.270054
2.83,0.270054
2.84,0.260052
2.85,0.190038
2.86,0.25005
2.87,0.310062
2.88,0.230046
2.89,0.210042
2.9,0.140028
2.91,0.180036
2.92,0.20004
2.93,0.230046
2.94,0.310062
2.95,0.180036
2.96,0.170034
2.97,0.15003
2.98,0.20004
2.99,0.180036
3,0.140028
3.01,0.140028
3.02,0.170034
3.03,0.20004
3.04,0.110022
3.05,0.10002
3.06,0.130026
3.07,0.120024
3.08,0.070014
3.09,0.120024
3.1,0.10002
3.11,0.080016
3.12,0.10002
3.13,0.080016
3.14,0.060012
3.15,0.10002
3.16,0.110022
3.17,0.020004
3.18,0.120024
3.19,0.05001
3.2,0.040008
3.21,0.060012
3.22,0.030006
3.23,0.020004
3.24,0.05001
3.25,0.030006
3.26,0.060012
3.27,0.010002
3.28,0.05001
3.29,0.010002
3.3,0.020004
3.31,0.020004
3.32,0.020004
3.33,0.020004
3.34,0.020004
3.35,0.040008
3.36,0.030006
3.37,0.05001
3.38,0.010002
3.39,0.020004
3.4,0.010002
3.41,0.030006
3.42,0.020004
3.43,0.020004
3.44,0
3.45,0.030006
3.46,0.030006
3.47,0
3.48,0.010002
3.49,0.010002
3.5,0.020004
3.51,0
3.52,0.010002
3.53,0.010002
3.54,0
3.55,0.010002
3.56,0
3.57,0
3.58,0
3.59,0
3.6,0
3.61,0
3.62,0
3.63,0
3.64,0.010002
3.65,0
3.66,0.020004
3.67,0
3.68,0.010002
3.69,0.010002
3.7,0.010002
3.71,0.010002
3.72,0
3.73,0.010002
3.74,0.020004
3.75,0.040008
3.76,0.030006
3.77,0.020004
3.78,0.030006
3.79,0
3.8,0.05001
3.81,0.020004
3.82,0.040008
3.83,0.040008
3.84,0.10002
3.85,0.090018
3.86,0.080016
3.87,0.070014
3.88,0.05001
3.89,0.070014
3.9,0.05001
3.91,0.060012
3.92,0.080016
3.93,0.170034
3.94,0.110022
3.95,0.140028
3.96,0.080016
3.97,0.090018
3.98,0.130026
3.99,0.170034
4,0.130026
4.01,0.290058
4.02,0.180036
4.03,0.190038
4.04,0.210042
4.05,0.280056
4.06,0.230046
4.07,0.220044
4.08,0.290058
4.09,0.25005
4.1,0.240048
4.11,0.410082
4.12,0.340068
4.13,0.260052
4.14,0.310062
4.15,0.25005
4.16,0.360072
4.17,0.390078
4.18,0.430086
4.19,0.460092
4.2,0.380076
4.21,0.540108
4.22,0.620124
4.23,0.560112
4.24,0.570114
4.25,0.610122
4.26,0.610122
4.27,0.730146
4.28,0.740148
4.29,0.530106
4.3,0.80016
4.31,0.80016
4.32,0.710142
4.33,0.75015
4.34,1.05021
4.35,0.930186
4.36,0.730146
4.37,0.75015
4.38,0.760152
4.39,0.910182
4.4,1.07021
4.41,0.90018
4.42,0.760152
4.43,0.95019
4.44,0.940188
4.45,0.920184
4.46,0.930186
4.47,0.920184
4.48,1.19024
4.49,0.95019
4.5,0.990198
4.51,0.970194
4.52,1.03021
4.53,0.920184
4.54,0.930186
4.55,1.12022
4.56,1.12022
4.57,0.940188
4.58,0.940188
4.59,0.95019
4.6,0.970194
