# SPIKE FIRING RATE SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = cosine
# alpha = 0.05
# f = 0.215
#
# Data format:
# Time, Firing rate
#
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,0
1.45,0
1.46,0
1.47,0
1.48,0.01
1.49,0
1.5,0
1.51,0
1.52,0
1.53,0
1.54,0
1.55,0
1.56,0.01
1.57,0.01
1.58,0
1.59,0
1.6,0.01
1.61,0
1.62,0.02
1.63,0
1.64,0.01
1.65,0.01
1.66,0.03
1.67,0.01
1.68,0.02
1.69,0.03
1.7,0.04
1.71,0.02
1.72,0
1.73,0.02
1.74,0.05
1.75,0.04
1.76,0.04
1.77,0.07
1.78,0.07
1.79,0.1
1.8,0.1
1.81,0.09
1.82,0.13
1.83,0.17
1.84,0.19
1.85,0.14
1.86,0.16
1.87,0.1
1.88,0.09
1.89,0.21
1.9,0.17
1.91,0.28
1.92,0.32
1.93,0.32
1.94,0.46
1.95,0.39
1.96,0.4
1.97,0.35
1.98,0.35
1.99,0.33
2,0.55
2.01,0.47
2.02,0.38
2.03,0.53
2.04,0.59
2.05,0.67
2.06,0.53
2.07,0.54
2.08,0.61
2.09,0.61
2.1,0.56
2.11,0.48
2.12,0.49
2.13,0.69
2.14,0.74
2.15,0.64
2.16,0.78
2.17,0.54
2.18,0.69
2.19,0.78
2.2,0.8
2.21,0.84
2.22,0.87
2.23,0.78
2.24,0.78
2.25,0.94
2.26,0.92
2.27,0.87
2.28,0.71
2.29,0.89
2.3,0.98
2.31,0.92
2.32,1.02
2.33,0.85
2.34,0.78
2.35,0.94
2.36,0.97
2.37,0.96
2.38,0.95
2.39,0.74
2.4,0.91
2.41,0.84
2.42,0.83
2.43,1.07
2.44,0.85
2.45,0.98
2.46,0.87
2.47,1.01
2.48,1.1
2.49,0.94
2.5,0.82
2.51,0.86
2.52,1
2.53,0.97
2.54,0.91
2.55,0.84
2.56,0.97
2.57,0.9
2.58,0.89
2.59,0.87
2.6,0.91
2.61,0.84
2.62,0.87
2.63,0.85
2.64,0.9
2.65,0.81
2.66,0.84
2.67,0.81
2.68,0.73
2.69,0.72
2.7,0.68
2.71,0.8
2.72,0.79
2.73,0.7
2.74,0.83
2.75,0.71
2.76,0.85
2.77,0.65
2.78,0.79
2.79,0.61
2.8,0.74
2.81,0.6
2.82,0.88
2.83,0.62
2.84,0.74
2.85,0.55
2.86,0.58
2.87,0.67
2.88,0.78
2.89,0.71
2.9,0.74
2.91,0.64
2.92,0.69
2.93,0.6
2.94,0.67
2.95,0.53
2.96,0.6
2.97,0.69
2.98,0.5
2.99,0.64
3,0.53
3.01,0.42
3.02,0.67
3.03,0.55
3.04,0.28
3.05,0.52
3.06,0.33
3.07,0.43
3.08,0.54
3.09,0.46
3.1,0.37
3.11,0.42
3.12,0.34
3.13,0.36
3.14,0.44
3.15,0.3
3.16,0.37
3.17,0.3
3.18,0.3
3.19,0.33
3.2,0.45
3.21,0.34
3.22,0.29
3.23,0.28
3.24,0.31
3.25,0.16
3.26,0.25
3.27,0.23
3.28,0.2
3.29,0.33
3.3,0.29
3.31,0.25
3.32,0.22
3.33,0.3
3.34,0.33
3.35,0.18
3.36,0.23
3.37,0.18
3.38,0.18
3.39,0.18
3.4,0.2
3.41,0.16
3.42,0.17
3.43,0.19
3.44,0.16
3.45,0.14
3.46,0.14
3.47,0.17
3.48,0.17
3.49,0.14
3.5,0.16
3.51,0.08
3.52,0.14
3.53,0.11
3.54,0.17
3.55,0.12
3.56,0.08
3.57,0.15
3.58,0.09
3.59,0.07
3.6,0.14
3.61,0.1
3.62,0.06
3.63,0.1
3.64,0.07
3.65,0.04
3.66,0.05
3.67,0.11
3.68,0.04
3.69,0.03
3.7,0.04
3.71,0.14
3.72,0.04
3.73,0.05
3.74,0.03
3.75,0.05
3.76,0.03
3.77,0.05
3.78,0.04
3.79,0.02
3.8,0.05
3.81,0.04
3.82,0.03
3.83,0.04
3.84,0.02
3.85,0.07
3.86,0.1
3.87,0.05
3.88,0.06
3.89,0.05
3.9,0.06
3.91,0.09
3.92,0.08
3.93,0.05
3.94,0.05
3.95,0.14
3.96,0.06
3.97,0.07
3.98,0.06
3.99,0.07
4,0.13
4.01,0.16
4.02,0.09
4.03,0.19
4.04,0.1
4.05,0.19
4.06,0.11
4.07,0.18
4.08,0.13
4.09,0.22
4.1,0.24
4.11,0.19
4.12,0.2
4.13,0.28
4.14,0.26
4.15,0.27
4.16,0.31
4.17,0.41
4.18,0.28
4.19,0.4
4.2,0.43
4.21,0.44
4.22,0.36
4.23,0.57
4.24,0.46
4.25,0.47
4.26,0.58
4.27,0.42
4.28,0.56
4.29,0.52
4.3,0.61
4.31,0.67
4.32,0.59
4.33,0.75
4.34,0.7
4.35,0.83
4.36,0.75
4.37,0.75
4.38,0.78
4.39,0.69
4.4,0.85
4.41,0.76
4.42,0.73
4.43,0.83
4.44,0.7
4.45,0.81
4.46,0.86
4.47,0.84
4.48,0.92
4.49,0.81
4.5,1
4.51,1.04
4.52,1.12
4.53,0.86
4.54,0.83
4.55,0.94
4.56,0.88
4.57,1.08
4.58,0.89
4.59,0.92
4.6,0.99
4.61,0.96
4.62,0.89
4.63,1.1
4.64,0.95
4.65,0.98
4.66,0.95
4.67,0.88
4.68,1.14
4.69,0.95
4.7,1.04
4.71,1.11
4.72,1.03
4.73,0.87
4.74,1.14
4.75,0.93
4.76,0.89
4.77,1.08
4.78,0.98
4.79,0.81
4.8,0.91
4.81,1.07
4.82,0.78
4.83,0.93
4.84,0.88
4.85,0.91
4.86,0.85
4.87,1.06
