# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.001
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.52548,0.113939,-7.93661,-4.19374
0.004,1.05172,-0.270285,-1.85083,-7.04985
0.006,1.26322,-0.401695,-3.90381,2.1126
0.008,1.4308,-0.0714417,-6.89969,2.72698
0.01,0.516505,-0.169236,1.28181,8.56824
0.012,1.59099,0.346159,-0.17233,4.43013
0.014,1.82624,-0.0353374,-0.0142887,-3.34084
0.016,2.28487,0.413197,-2.07273,4.61171
0.018,1.63338,0.126405,11.9957,-0.0358164
0.02,1.44725,0.120565,5.25137,-0.7654
0.022,1.60011,0.75945,-0.152519,2.86152
0.024,1.48212,-0.232112,0.0392041,-3.59859
0.026,1.30576,0.470535,9.05012,-7.77147
0.028,1.24557,-0.312131,3.39043,6.28836
0.03,1.86099,0.347211,-4.47115,-8.37929
0.032,1.06038,0.603883,1.11219,-3.10778
0.034,0.637974,-0.164649,-1.84345,-10.542
0.036,2.37585,0.14337,-13.0745,6.25139
0.038,1.61799,0.631611,-1.07784,17.0069
0.04,0.566674,0.423185,-2.55461,-7.62337
0.042,1.25516,0.283325,-3.29808,8.39383
0.044,1.92473,-0.602871,4.1152,-11.9812
0.046,1.24774,-0.920743,-1.36564,-19.5277
0.048,1.53331,0.156029,7.63611,-0.673259
0.05,1.11419,-0.486321,3.37032,-6.78206
0.052,1.08862,0.0581119,2.31342,3.44784
0.054,1.6014,-0.208297,9.62703,3.05556
0.056,1.10291,-0.305415,-9.78738,-9.93353
0.058,1.28328,0.326232,5.72495,-4.82231
0.06,1.08287,0.0875684,-6.35264,-3.71876
0.062,1.70358,0.324178,-18.0257,-3.85218
0.064,1.30499,0.999993,-4.96448,14.2937
0.066,1.43588,0.894319,0.586399,3.50811
0.068,0.812616,-0.192597,-2.07572,4.38562
0.07,1.51216,0.429731,23.7104,24.4425
0.072,0.910665,-0.55695,18.5845,-6.31449
0.074,1.6224,0.2266,-4.66647,-7.08058
0.076,0.889971,0.380126,1.19473,-4.04973
0.078,1.70339,-0.185368,12.4204,-17.2665
0.08,1.69544,0.327695,10.5596,8.15339
0.082,1.89156,0.4726,-15.3828,5.44503
0.084,1.85219,0.0470489,9.16726,0.910921
0.086,1.78961,0.661518,4.59653,-3.40721
0.088,1.10477,0.423754,6.56698,-13.7516
0.09,2.16517,0.240368,4.92385,1.30521
0.092,1.19333,-0.0178164,-7.15407,-3.21876
0.094,1.8449,0.601624,-4.13693,7.24789
0.096,1.90006,-0.0672671,-10.2221,3.6896
0.098,1.56368,0.360036,11.2908,0.244951
0.1,1.78777,-0.168702,-6.70269,-3.79431
0.102,1.35467,0.0757128,-6.98101,-7.62534
0.104,1.08559,-0.229849,0.193682,-6.05131
0.106,1.79215,0.708307,-0.825488,8.62832
0.108,1.74931,-0.0859733,-1.70507,-22.0757
0.11,1.11302,-0.269136,-4.08771,3.65799
0.112,2.52242,0.429161,-9.28181,-13.1065
0.114,1.73577,0.663069,11.4897,3.39155
0.116,1.1495,0.142476,-4.14059,8.35215
0.118,1.62812,1.03581,-16.7836,-8.11974
0.12,2.08451,0.695686,9.12702,-7.2773
0.122,1.47818,-0.415418,-1.8222,6.29246
0.124,1.12862,-0.250726,-0.167797,-25.8645
0.126,1.52445,0.408839,9.80017,17.107
0.128,1.29388,1.34804,24.7564,1.97308
0.13,1.81511,0.725976,-16.6057,11.4537
0.132,1.39235,0.424799,-3.10718,3.33331
0.134,1.23152,0.273865,16.209,2.99852
0.136,1.42246,0.489855,-14.3529,-14.183
0.138,1.63077,1.15833,8.26881,-11.2474
0.14,1.56146,0.361479,1.56519,-4.53403
0.142,2.58552,0.629566,-10.8414,10.3707
0.144,1.07641,0.818081,-12.953,-18.0953
0.146,1.93599,0.665029,30.6591,-19.0912
0.148,1.68075,0.529969,1.03094,-4.04756
0.15,1.31091,1.52308,-23.6998,3.20011
0.152,1.75416,0.0913836,5.30642,14.0252
0.154,2.00217,1.098,34.0449,-3.96502
0.156,0.602217,1.13121,-4.49354,-15.3922
0.158,1.9783,-0.183677,1.08564,-25.113
0.16,1.74098,0.50223,8.06074,6.76074
0.162,1.65716,1.27241,2.81057,-19.3651
0.164,2.00861,-0.156103,-2.88441,41.0083
0.166,2.39687,1.29424,17.5109,-8.77719
0.168,0.389159,0.0510863,2.74081,-16.7271
0.17,1.71156,-0.229645,-43.1825,17.7862
0.172,1.4622,0.794463,-10.3441,-12.6936
0.174,1.19345,0.89302,13.5728,23.062
0.176,0.770215,1.23932,-35.0457,-4.90043
0.178,1.93292,1.0667,18.7885,7.86451
0.18,2.09729,0.338282,-46.2792,20.0875
0.182,2.01627,-0.609183,-8.58359,43.9792
0.184,1.81203,1.26767,-12.4483,-50.911
0.186,1.20826,0.566978,-55.6058,64.0577
0.188,1.35783,0.125086,42.8375,-20.5255
0.19,1.05343,1.95075,-15.0398,24.0916
0.192,1.62125,0.903481,43.6381,-61.4388
0.194,1.05868,0.591348,14.0431,47.1039
0.196,2.4489,0.0582003,26.1634,95.6946
0.198,2.04919,0.539314,110.097,138.259
0.2,2.14422,0.73915,34.7668,-41.3866
0.202,1.04707,0.952785,86.6546,101.327
0.204,2.10742,-0.514482,-18.145,-177.715
0.206,1.46814,1.26572,26.2034,15.9596
0.208,1.35572,1.79622,28.0446,-72.2029
0.21,2.78666,1.56758,-8.27279,-3.06589
0.212,0.464387,0.367936,21.8189,-151.376
0.214,1.63166,1.33842,-208.861,-44.3989
0.216,2.41892,1.18319,-217.167,11.7603
0.218,0.282029,1.0862,-14.7296,-84.7265
0.22,0.0706511,1.1247,-278.295,-77.8104
0.222,1.41153,0.500898,67.9868,27.3495
0.224,1.70055,1.57349,-30.7223,3.32209
0.226,0.919703,1.47935,-130.938,-13.8672
0.228,1.70801,-0.546632,89.9841,-73.3515
0.23,0.695742,1.23329,-37.0781,-134.149
0.232,0.73042,1.31259,-38.6795,-119.352
0.234,0.689679,1.0017,113.639,77.3151
0.236,2.00228,0.0629199,52.4403,13.6348
0.238,1.7468,1.76528,34.2346,-112.956
0.24,0.496579,3.10503,-75.3076,26.3959
0.242,1.7271,0.792544,-20.1493,-22.8493
0.244,1.52401,0.591158,-27.4619,-23.9381
0.246,2.51535,0.695976,22.931,-50.8251
0.248,2.71667,0.797727,-105.412,17.6271
0.25,1.29083,-0.522946,-27.9591,35.1195
0.252,1.45217,2.04268,0.623253,56.4149
0.254,1.32796,0.821637,-13.2222,-21.3614
0.256,0.52256,0.739884,25.4129,7.76859
0.258,1.52086,1.89706,23.2001,15.3503
0.26,0.354194,1.04288,1.35942,63.7417
0.262,0.306716,0.739269,0.11038,27.5137
0.264,0.855702,1.10591,55.7625,-40.7098
0.266,1.43314,-0.106096,40.3482,-45.6319
0.268,1.82081,2.67798,-9.84473,-24.6383
0.27,0.08569,0.762377,44.3029,-32.7765
0.272,1.91906,1.79395,6.10904,-13.1477
0.274,1.63671,1.61484,20.5293,11.2922
0.276,0.00797463,2.86797,8.40148,29.1717
0.278,0.835606,0.869617,35.5465,6.10426
0.28,0.308559,1.8752,-37.347,-62.1971
0.282,2.41557,1.23444,-26.716,2.08402
0.284,2.24782,0.427432,34.6428,7.79376
0.286,1.27335,0.891823,-2.94622,-36.2695
0.288,4.38956,2.36825,0.939501,-6.52336
0.29,1.32392,2.49921,-37.1586,-11.266
0.292,2.00701,0.0466256,-18.093,-0.103288
0.294,0.751904,1.92378,29.6411,10.3741
0.296,1.42588,2.13682,-24.4167,-31.7043
0.298,0.318944,1.49238,-10.9914,25.493
0.3,0.534753,0.826547,20.0895,-51.4019
