# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.005
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,7.11424,0.295615,-6.81235,10.3851
0.004,-2.60742,-0.430423,45.502,-23.8985
0.006,-30.0271,0.766722,27.0432,17.3487
0.008,-4.09012,2.73907,7.6252,-53.1032
0.01,33.5897,0.603999,-34.7003,-10.4872
0.012,8.07687,-0.0146479,-19.7668,51.8804
0.014,4.05625,-0.864153,10.9034,218.347
0.016,-21.2075,1.02357,-41.7508,83.9111
0.018,-19.4067,0.795993,-43.3621,-8.81836
0.02,9.07249,-0.9929,-12.1576,-26.2885
0.022,-13.8043,0.0841274,-67.5379,9.8595
0.024,23.4009,-0.309223,59.3319,49.1048
0.026,30.8953,-1.01406,34.0055,10.9144
0.028,36.9115,1.14376,-49.5947,-57.8002
0.03,22.5747,0.108476,62.2152,-25.9191
0.032,3.37321,1.66657,-83.0976,-47.4888
0.034,-9.20522,0.485498,-65.1944,-44.0251
0.036,-0.822231,0.664397,44.4721,-31.0595
0.038,-19.263,-1.48313,-41.8228,51.3247
0.04,11.9062,-0.352986,-17.1803,-11.0745
0.042,23.2314,0.812559,-42.9146,71.3312
0.044,1.83021,2.57895,53.9269,-2.48065
0.046,0.920329,0.094,-76.2951,25.513
0.048,2.7354,-0.126933,26.0015,-2.84192
0.05,-21.3278,0.572776,-72.5622,-57.7562
0.052,-3.0549,2.17132,62.9835,-20.2814
0.054,-18.8683,1.3613,-137.444,-136.334
0.056,-13.7533,-1.2857,-4.01961,7.26636
0.058,-13.3152,0.144041,-19.9623,3.885
0.06,12.1944,-0.802092,5.37763,53.6538
0.062,3.37941,1.45355,60.9693,-86.1229
0.064,-35.1946,0.244979,-72.2,11.5293
0.066,2.19805,0.0416054,104.348,48.0562
0.068,-12.3052,-0.151629,-50.4324,74.5723
0.07,0.670836,-0.451061,29.7303,58.9326
0.072,-10.7828,1.93214,40.8906,84.8147
0.074,6.81454,0.302352,38.8273,104.496
0.076,-5.25817,-0.434171,75.2072,-28.1567
0.078,18.4829,1.64688,27.9439,-48.4651
0.08,35.7782,0.516922,-82.8824,-72.2761
0.082,-21.0457,-2.33985,67.8222,9.19928
0.084,16.2155,0.0934619,-30.2085,-7.59151
0.086,-1.25135,-0.301847,31.7992,-11.1545
0.088,-30.6504,0.936145,-175.361,81.2474
0.09,-40.0498,1.30363,13.9107,65.3388
0.092,-41.2773,-0.0653149,-32.2183,2.7051
0.094,-4.86865,0.698059,-108.683,107.986
0.096,39.7867,2.11895,-51.4561,-84.1526
0.098,7.12966,-0.102465,94.9057,89.09
0.1,3.5788,2.75063,-32.0077,-73.1492
0.102,-11.6683,-1.00781,98.362,-48.5583
0.104,-50.2814,-0.516098,-57.0644,-35.6726
0.106,-73.0181,2.91327,-80.9629,-146.663
0.108,-30.0796,-1.41102,87.663,84.5665
0.11,23.207,1.22038,19.6147,-50.8465
0.112,20.8645,-0.382702,-147.185,59.2774
0.114,-18.916,4.11496,-117.097,81.8312
0.116,26.7141,4.26973,28.4955,52.5379
0.118,12.5506,0.296439,-25.9315,219.07
0.12,-48.4281,0.190893,-131.581,-52.54
0.122,-15.7807,-2.18606,-80.9202,-13.8787
0.124,-20.6108,0.900929,18.007,62.466
0.126,-3.86206,-0.0778238,123.73,168.615
0.128,56.4303,2.09611,-7.45942,-85.5063
0.13,-58.2317,-0.647411,163.068,170.801
0.132,-51.0366,1.35283,113.077,-101.796
0.134,19.7347,1.40737,4.2806,-90.7331
0.136,40.4131,1.00942,203.266,60.4519
0.138,43.8273,0.547998,139.426,-132.1
0.14,-83.3434,1.78581,-92.1912,87.4764
0.142,-55.9569,2.36573,229.011,-70.0491
0.144,70.4847,1.34583,-16.6937,-86.9935
0.146,40.6637,0.550944,89.157,273.007
0.148,76.4971,-1.055,-38.9954,226.813
0.15,-2.29164,0.453295,-78.8191,-10.5577
0.152,-30.66,2.73122,223.894,75.9623
0.154,33.0943,4.08248,187.825,-241.927
0.156,-58.521,0.62771,107.193,-50.1139
0.158,-27.5995,2.62891,241.769,-330.067
0.16,-47.7543,-0.000873302,-233.098,-71.4152
0.162,75.5697,-0.692501,134.139,-52.8035
0.164,-4.91111,0.135424,65.8937,-71.8694
0.166,-2.87773,-0.328095,-64.9318,-23.0252
