# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.02
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.54569,0.0301207,0.192083,0.304167
0.004,1.55576,-0.0156428,1.98926,-0.969936
0.006,1.48419,0.159503,0.310138,-0.473245
0.008,1.62291,0.0552395,0.623119,0.363093
0.01,1.55324,-0.00315008,1.04933,0.414515
0.012,1.37545,0.0774991,1.02874,1.70118
0.014,1.48814,-0.158284,-0.343811,-1.72868
0.016,1.55001,0.00697748,-1.46421,0.858623
0.018,1.59056,-0.00753676,-0.1798,-0.343574
0.02,1.41866,0.240257,1.93227,-0.418706
0.022,1.46855,0.0873435,0.785376,-0.161754
0.024,1.43664,0.0389822,0.156395,-0.350998
0.026,1.49571,-0.0137076,0.878795,-1.07402
0.028,1.40744,0.150951,-0.441084,1.43668
0.03,1.52345,0.15941,0.944183,0.231743
0.032,1.62119,0.244152,-0.193377,-2.40282
0.034,1.66368,-0.0860024,-1.06951,-0.633624
0.036,1.3728,0.0277015,1.74579,-1.96258
0.038,1.56472,0.1837,0.537299,2.5478
0.04,1.3912,0.212676,1.94297,0.0389637
0.042,1.43015,0.17802,0.0317212,-0.188585
0.044,1.65152,0.0879524,-1.12651,1.4459
0.046,1.39447,0.226888,-0.146018,-0.0934503
0.048,1.33811,0.283339,0.749272,0.295958
0.05,1.59646,0.141563,0.032566,-0.192917
0.052,1.51901,0.120397,-0.310663,-0.439397
0.054,1.62382,-0.0868814,-0.140185,0.641927
0.056,1.55095,0.228877,-0.224234,-0.628417
0.058,1.55347,0.209178,-0.379617,0.6808
0.06,1.5331,0.33444,0.302435,-0.068914
0.062,1.58338,0.262408,-0.349684,-0.210658
0.064,1.35061,0.169213,-1.44636,0.560745
0.066,1.66698,0.277288,2.28725,0.381024
0.068,1.38997,0.317069,-1.32383,2.6922
0.07,1.52909,0.326512,-0.564688,-0.0750259
0.072,1.4319,0.391077,-0.282065,-0.315357
0.074,1.3975,0.351683,-0.63045,-0.454688
0.076,1.50332,0.201212,0.343851,-1.38681
0.078,1.42912,0.232647,2.72756,1.59043
0.08,1.57129,0.344442,-1.42802,-1.64865
0.082,1.58388,0.26751,1.30391,0.184591
0.084,1.36632,0.217787,0.135323,-1.61992
0.086,1.46794,0.251356,-2.26351,-0.294441
0.088,1.47549,0.342499,-0.360354,1.97453
0.09,1.4964,0.328655,-1.71692,-0.574589
0.092,1.52557,0.301665,0.126923,-0.299989
0.094,1.58594,0.382388,-0.173225,0.158784
0.096,1.3502,0.389379,2.40445,1.11074
0.098,1.34167,0.475668,-1.1943,0.329989
0.1,1.57975,0.424718,-1.02471,0.0986605
0.102,1.47899,0.495896,-1.43281,0.010896
0.104,1.53567,0.365481,3.97378,-1.8646
0.106,1.42813,0.562032,0.2619,-1.31623
0.108,1.59452,0.570772,-0.445234,0.0585823
0.11,1.64017,0.392486,0.301668,1.28308
0.112,1.51108,0.356496,-2.20424,-1.78175
0.114,1.55494,0.443679,-0.759323,-0.56663
0.116,1.54082,0.595573,-2.83906,-0.252862
0.118,1.39023,0.626408,-1.37666,-0.817516
0.12,1.58914,0.383961,-1.86975,5.08003
0.122,1.57641,0.534562,-3.16395,0.366221
0.124,1.3552,0.373444,-0.843174,2.69236
0.126,1.548,0.549065,-1.78161,-0.778457
0.128,1.25058,0.338015,1.74719,-1.23632
0.13,1.56761,0.489417,-1.83247,-0.991391
0.132,1.47624,0.445636,3.07615,1.51953
0.134,1.73273,0.606122,0.393456,-2.1542
0.136,1.35625,0.745573,0.905188,2.67775
0.138,1.29009,0.61603,1.89858,1.44367
0.14,1.4586,0.594935,0.108349,-0.433763
0.142,1.53764,0.491188,1.76322,4.03316
0.144,1.66346,0.74789,-2.26193,2.3474
0.146,1.64994,0.427387,-0.252974,0.639343
0.148,1.43847,0.316966,-4.51501,-1.33922
0.15,1.49792,0.54771,-0.357062,-3.22534
0.152,1.61005,0.545988,-6.04325,2.41932
0.154,1.31579,0.558075,-2.59687,-2.24825
0.156,1.50799,0.439974,3.90243,-1.82404
0.158,1.5498,0.65569,2.52732,-3.85745
0.16,1.55241,0.766085,4.58884,-3.57792
0.162,1.61312,0.548607,-0.919137,-1.87923
0.164,1.83761,0.579297,5.38863,0.920968
0.166,1.59932,0.638766,-0.369767,-1.98019
0.168,1.61248,0.595567,-4.01993,-4.30174
0.17,1.76499,0.654123,-0.49536,2.72915
0.172,1.46691,0.635215,-3.60245,-4.87042
0.174,1.31541,0.942474,1.65396,-1.95629
0.176,1.44143,0.847516,-2.89554,-3.02149
0.178,1.69471,0.811508,3.91582,-1.16989
0.18,1.30554,0.820458,-0.515932,11.5656
0.182,1.28305,0.608612,-7.0168,-0.206128
0.184,1.57436,0.677491,6.25594,3.63396
0.186,1.60908,0.829642,-2.68964,-4.87029
0.188,1.79343,0.686817,4.51615,-10.1166
0.19,1.73551,0.937635,8.21852,11.5881
0.192,1.34849,0.714301,-5.868,-12.8092
0.194,1.43055,0.707793,-6.88475,-14.132
0.196,1.5611,1.01254,13.5474,-13.9266
0.198,1.3756,0.974397,10.8955,-2.76243
0.2,1.62514,0.924282,24.1911,11.7539
0.202,1.40763,0.997242,22.8233,6.01145
0.204,1.40811,0.831537,1.23912,-3.94327
0.206,1.69247,0.976444,3.10059,-9.64524
0.208,1.62074,1.00684,-1.03207,-47.9012
0.21,1.63941,0.754911,-8.47073,28.0019
0.212,1.49203,1.04262,25.8419,-3.06043
0.214,1.30859,1.25108,14.033,-28.4005
0.216,1.37524,0.61512,0.891008,40.5596
0.218,1.55558,0.797454,-41.1038,5.9259
0.22,1.63538,1.01871,-2.30949,11.8032
