# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.01
# f_low = 0
# f_high = 500
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0,2.01144e+34,0
0.001,-245.961,-0.271425
0.002,-236.629,3.05367
0.003,-235.787,22.6375
0.004,-211.883,-10.9736
0.005,-252.829,24.2924
0.006,-258.12,21.0257
0.007,-241.561,7.7311
0.008,-241.977,5.32932
0.009,-257.234,1.99293
0.01,-237.447,28.8954
0.011,-250.511,-7.71548
0.012,-238.541,12.1971
0.013,-256.211,21.9308
0.014,-255.702,25.1325
0.015,-245.236,31.5388
0.016,-241.49,19.0513
0.017,-239.214,25.3791
0.018,-245.013,12.0264
0.019,-256.007,45.7061
0.02,-246.328,28.2529
0.021,-240.492,9.47591
0.022,-254.716,34.8801
0.023,-245.62,26.855
0.024,-232.906,36.8684
0.025,-232.867,22.4094
0.026,-249.857,26.1297
0.027,-241.362,28.7861
0.028,-234.512,40.3925
0.029,-260.418,23.2954
0.03,-244.552,40.6573
0.031,-233.684,52.3158
0.032,-240.423,38.2012
0.033,-258.916,46.3615
0.034,-257.584,57.8637
0.035,-241.909,40.8284
0.036,-222.957,24.1536
0.037,-244.658,59.708
0.038,-245.897,37.962
0.039,-234.359,54.4613
0.04,-229.694,32.149
0.041,-250.883,51.485
0.042,-250.06,29.2705
0.043,-235.751,48.9313
0.044,-231.606,53.9514
0.045,-254.668,63.6567
0.046,-223.48,60.1634
0.047,-254.922,52.8788
0.048,-241.002,48.6294
0.049,-220.962,87.1325
0.05,-237.74,65.1559
0.051,-251.088,60.6321
0.052,-245.126,78.6126
0.053,-249.549,93.9296
0.054,-249.183,75.3214
0.055,-240.915,62.4496
0.056,-226.903,88.4936
0.057,-224.17,79.6299
0.058,-233.217,78.1212
0.059,-243.699,75.2054
0.06,-244.933,60.1063
0.061,-239.298,66.0533
0.062,-246.7,46.7913
0.063,-243.849,68.9459
0.064,-251.578,92.7173
0.065,-219.51,88.4757
0.066,-242.496,71.3479
0.067,-245.488,93.0121
0.068,-257.009,87.4439
0.069,-261.954,98.0297
0.07,-246.515,74.6003
0.071,-240.462,96.7025
0.072,-228.875,83.4931
0.073,-245.183,92.5179
0.074,-243.137,105.968
0.075,-245.119,109.769
0.076,-247.053,98.7637
0.077,-231.086,80.5309
0.078,-245.226,98.9381
0.079,-248.737,97.2432
0.08,-250.292,103.007
0.081,-213.803,116.602
0.082,-249.999,110.499
0.083,-231.565,107.336
0.084,-260.045,149.532
0.085,-230.642,93.2664
0.086,-227.501,118.256
0.087,-259.708,121.328
0.088,-226.278,111.811
0.089,-240.29,143.473
0.09,-224.385,114.558
0.091,-251.411,120.224
0.092,-227.294,115.707
0.093,-249.875,146.631
0.094,-275.421,148.464
0.095,-224.49,133.705
0.096,-234.71,125.511
0.097,-243.342,142.119
0.098,-232.379,121.728
0.099,-239.628,158.718
0.1,-259.459,128.515
0.101,-230.689,151.619
0.102,-216.237,137.601
0.103,-257.821,169.999
0.104,-239.063,135.232
0.105,-256.451,131.069
0.106,-212.76,182.398
0.107,-226.928,157.069
0.108,-237.308,169.24
0.109,-254.336,127.578
0.11,-247.572,136.958
0.111,-240.169,174.803
0.112,-227.948,191.112
0.113,-216.435,142.056
0.114,-241.76,212.574
0.115,-224.078,181.306
0.116,-239.86,150.444
0.117,-240.223,177.248
0.118,-241.426,196.724
0.119,-218.661,168.658
0.12,-240.512,209.203
0.121,-250.015,190.037
0.122,-254.679,198.364
0.123,-252.886,194.743
0.124,-233.805,211.539
0.125,-232.806,209.233
0.126,-218.145,201.67
0.127,-246.783,190.367
0.128,-241.014,200.197
0.129,-251.678,202.351
0.13,-225.813,200.373
0.131,-232.087,208.47
0.132,-256.209,183.841
0.133,-202.757,214.957
0.134,-267.128,286.593
0.135,-245.261,250.139
0.136,-227.006,257.546
0.137,-234.145,263.753
0.138,-193.448,241.647
0.139,-237.565,253.347
0.14,-237.758,295.457
0.141,-222.584,249.904
0.142,-207.109,264.333
0.143,-240.43,268.247
0.144,-260.601,278.877
0.145,-267.719,272.709
0.146,-201.231,289.15
0.147,-213.905,249.239
0.148,-219.045,264.137
0.149,-233.828,265.002
0.15,-217.22,314.805
0.151,-250.325,311.798
0.152,-208.591,311.483
0.153,-267.608,357.522
0.154,-232.588,336.243
0.155,-209.676,348.844
0.156,-180.563,285.59
0.157,-193.061,281.321
0.158,-206.237,368.35
0.159,-205.036,355.89
0.16,-240.278,339.432
0.161,-277.699,380.936
0.162,-206.033,362.676
0.163,-178.804,443.101
0.164,-199.22,417.503
0.165,-249.239,407.132
0.166,-284.601,451.463
0.167,-210.825,339.098
0.168,-226.915,479.777
0.169,-196.996,420.067
0.17,-278.698,385.425
0.171,-144.347,451.857
0.172,-217.892,384.754
0.173,-177.478,423.698
0.174,-168.943,439.743
0.175,-327.903,517.66
0.176,-125.851,499.513
0.177,-154.393,470.754
0.178,-133.961,600.895
0.179,-275.758,576.111
0.18,-182.941,465.944
0.181,-118.421,596.229
0.182,-113.729,617.041
0.183,-157.182,624.154
0.184,-103.772,533.508
0.185,-56.5221,524.944
0.186,-110.402,537.565
0.187,-263.945,608.263
0.188,-117.502,759.99
0.189,-91.4339,770.371
0.19,-21.8824,740.448
0.191,-1.14565,830.936
0.192,75.8848,740.625
0.193,-68.0713,683.873
0.194,14.8003,875.914
0.195,-15.2648,991.978
0.196,384.193,872.633
0.197,159.273,916.082
0.198,391.059,816.277
0.199,472.611,1203.49
0.2,477.297,1233.04
0.201,335.601,961.147
0.202,569.184,806.989
0.203,606.767,1086.05
0.204,899.133,1277.51
0.205,1148.05,735.603
0.206,658.105,1090.52
0.207,1121.45,1373.14
0.208,1471.7,1260.67
0.209,1595.12,120.535
0.21,1452.86,439.264
0.211,924.762,488.839
0.212,1530.62,-52.3501
0.213,1530.73,402.107
0.214,1600.74,-392.115
0.215,1128.43,-281.14
0.216,1285.9,-31.4819
0.217,1120.04,-727.051
0.218,1122.95,-766.01
0.219,1211.99,-675.61
0.22,772.956,-654.281
0.221,980.469,-768.113
0.222,435.98,-626.555
0.223,1059.42,-440.208
0.224,790.928,-700.854
0.225,508.697,-617.66
0.226,556.759,-367.957
0.227,228.974,-768.251
0.228,357.455,-562.469
0.229,216.427,-589.636
0.23,284.037,-687.283
0.231,210.624,-496.407
0.232,284.725,-601.079
0.233,265.908,-417.082
0.234,155.405,-572.436
0.235,80.4076,-575.677
0.236,-38.3522,-537.299
0.237,234.455,-527.041
0.238,64.9229,-346.023
0.239,-115.049,-394.753
0.24,153.901,-535.847
0.241,45.4564,-267.066
0.242,-41.061,-396.291
0.243,-64.9682,-412.663
0.244,66.5593,-504.125
0.245,-126.791,-333.649
0.246,23.716,-440.21
0.247,-135.427,-127.301
0.248,-145.264,-408.322
0.249,-61.4171,-308.238
0.25,26.0356,-229.884
0.251,-73.7991,-241.12
0.252,-77.1813,-228.203
0.253,-123.06,-225.554
0.254,-164.811,-199.346
0.255,38.9839,-197.727
0.256,-120.555,-200.897
0.257,-168.206,-194.005
0.258,-107.559,-272.79
0.259,-171.297,-177.269
0.26,-89.5773,-218.309
0.261,-122.554,-237.192
0.262,-93.5569,-182.448
0.263,-139.279,-252.701
0.264,-32.3191,-69.88
0.265,-215.011,-192.913
0.266,-118.121,-135.704
0.267,-81.3903,-185.65
0.268,-194.722,-175.312
0.269,-128.757,-136.898
0.27,-226.665,-186.506
0.271,-175.575,-238.431
0.272,-85.2799,-134.08
0.273,-176.137,-195.986
0.274,-165.27,-3.37297
0.275,-147.698,-170.554
0.276,-98.405,-163.035
0.277,-47.181,-120.924
0.278,-170.574,-24.7943
0.279,-148.539,-133.536
0.28,-58.4704,-184.726
0.281,-164.407,-46.6546
0.282,-218.538,-21.5017
0.283,-178.108,-53.0645
0.284,-171.353,-22.0507
0.285,-198.369,11.4089
0.286,-184.043,-71.0569
0.287,-253.511,-30.9033
0.288,-172.852,15.6873
0.289,-152.435,-86.4469
0.29,-235.31,-74.2549
0.291,-108.093,-46.2277
0.292,-251.473,-35.2964
0.293,-240.318,-143.977
0.294,-146.761,-162.454
0.295,-212.208,-144.335
0.296,-208,-27.1394
0.297,-205.606,-45.9579
0.298,-170.272,-12.7441
0.299,-112.97,16.8549
0.3,-187.747,-16.9455
0.301,-172.51,37.7529
0.302,-212.397,-5.92204
0.303,-218.944,67.0637
0.304,-200.315,14.7494
0.305,-128.875,-6.84675
0.306,-164.316,13.308
0.307,-93.6003,-32.6103
0.308,-231.217,-8.40354
0.309,-186.119,-2.55176
0.31,-132.393,75.9154
0.311,-170.561,12.2158
0.312,-132.499,40.9502
0.313,-120.782,-65.6165
0.314,-122.744,42.1283
0.315,-168.804,75.1967
0.316,-198.292,-18.9543
0.317,-194.836,-51.0989
0.318,-142.624,21.0768
0.319,-142.542,-18.5
0.32,-201.438,55.0629
0.321,-90.0272,72.556
0.322,-176.936,49.0008
0.323,-176.807,37.3581
0.324,-195.377,25.6543
0.325,-110.318,-34.1459
0.326,-152.073,64.5028
0.327,-182.478,67.8591
0.328,-142.437,17.5124
0.329,-235.739,53.9312
0.33,-197.93,91.7863
0.331,-192.55,113.932
0.332,-251.325,33.9952
0.333,-128.541,74.1008
0.334,-172.805,71.4217
0.335,-89.2749,111.667
0.336,-123.721,128.186
0.337,-151.733,73.8963
0.338,-161.045,107.85
0.339,-175.555,33.5158
0.34,-152.228,139.349
0.341,-197.862,137.212
0.342,-110.266,68.9575
0.343,-209.293,209.291
0.344,-99.1762,192.25
0.345,-108.782,87.3648
0.346,-108.922,128.208
0.347,-162.148,199.788
0.348,-196.656,119.953
0.349,-136.806,14.663
0.35,-123.624,95.0775
0.351,-225.02,163.237
0.352,-111.859,171.486
0.353,-102.122,159.103
0.354,-178.352,122.301
0.355,-133.064,46.7125
0.356,-145.791,221.43
0.357,-160.021,74.7799
0.358,-211.602,142.135
0.359,-171.726,222.49
0.36,-108.42,288.798
0.361,-182.224,259.103
0.362,-200.179,4.16328
0.363,-168.482,145.592
0.364,-268.988,106.452
0.365,-88.2183,199.749
0.366,-65.8794,249.676
0.367,-229.874,201.375
0.368,-173.271,229.835
0.369,-65.9432,227.286
0.37,-4.25871,61.0817
0.371,-109.805,144.63
0.372,-103.207,160.832
0.373,-122.426,275.254
0.374,-93.6918,182.633
0.375,45.3221,221.459
0.376,-77.777,222.324
0.377,-220.796,301.412
0.378,-90.942,265.81
0.379,-94.121,242.306
0.38,-90.9788,329.438
0.381,-166.745,203.953
0.382,56.1443,246.007
0.383,-8.43634,237.988
0.384,-173.6,279.07
0.385,-42.7106,178.194
0.386,-203.473,312.094
0.387,104.313,201.573
0.388,-68.6449,462.787
0.389,167.993,186.936
0.39,44.9206,255.01
0.391,-35.0597,392.63
0.392,-13.5884,351.734
0.393,4.2075,190.364
0.394,-68.4712,256.494
0.395,11.2614,171.646
0.396,47.1951,324.461
0.397,-261.274,275.584
0.398,-12.2491,304.219
0.399,-211.179,359.627
0.4,38.3699,347.845
0.401,-110.512,296.072
0.402,78.7012,194.593
0.403,152.232,466.143
0.404,183.136,291.305
0.405,141.041,297.093
0.406,284.133,268.649
0.407,28.9393,389.527
0.408,-343.745,362.953
0.409,99.2553,411.08
0.41,-13.8455,354.897
0.411,161.662,232.224
0.412,-84.2141,300.476
0.413,362.655,431.258
0.414,295.735,149.202
0.415,-76.0395,452.159
0.416,119.91,74.7619
0.417,271.176,303.988
0.418,94.3593,370.152
0.419,91.3541,583.412
0.42,422.966,-110.777
0.421,92.6679,181.978
0.422,197.401,295.325
0.423,227.133,266.818
0.424,326.743,219.218
0.425,71.8116,158.01
0.426,178.668,214.126
0.427,275.882,96.4193
0.428,58.1355,249.861
0.429,417.289,-27.672
0.43,192.201,-33.8541
0.431,170.133,-12.9491
0.432,162.278,-47.6374
0.433,253.078,203.431
0.434,336.836,153.573
0.435,47.6914,179.724
0.436,364.477,-115.096
0.437,256.312,-94.6375
0.438,481.77,11.6727
0.439,352.913,112.599
0.44,171.731,-17.4499
0.441,336.094,167.484
0.442,286.214,-138.213
0.443,365.318,3.4976
0.444,465.635,67.4481
0.445,329.347,0.232956
0.446,461.948,-227.053
0.447,27.4048,147.436
0.448,313.505,12.5685
0.449,199.586,-94.7293
0.45,255.634,-79.9944
0.451,339.78,-170.736
0.452,168.284,-93.1448
0.453,123.834,37.6909
0.454,6.55601,-76.6712
0.455,5.37121,-49.7083
0.456,-103.172,-207.131
0.457,331.805,100.767
0.458,-41.3803,56.227
0.459,46.974,-103.663
0.46,82.664,-150.624
0.461,106.971,-185.223
0.462,171.501,-210.122
0.463,91.6863,56.7862
0.464,-13.343,-261.377
0.465,187.81,-250.326
0.466,322.87,-31.7903
0.467,134.169,-189.87
0.468,219.966,-101.58
0.469,168.965,-105.777
0.47,92.6581,-107.091
0.471,-43.8177,-109.394
0.472,27.9592,-101.946
0.473,-105.398,-172.401
0.474,106.821,19.39
0.475,40.0388,-261.299
0.476,-45.8976,-178.582
0.477,-36.486,-196.808
0.478,195.622,-32.2394
0.479,178.728,-38.6316
0.48,-33.2534,-243.238
0.481,-68.5626,-215.892
0.482,-15.1789,-1.60922
0.483,0.459113,-173.153
0.484,-26.8439,-287.146
0.485,22.3831,-70.1563
0.486,-84.196,-104.937
0.487,61.8191,-119.502
0.488,-49.96,-176.028
0.489,-209.42,-29.467
0.49,-79.1293,-55.7094
0.491,-129.7,-173.349
0.492,58.8014,-58.6023
