# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.005
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.64826,1.6351,-100.216,-65.7154
0.004,2.44111,0.694664,-86.4696,-98.2231
0.006,2.50818,1.05216,-23.6931,-51.9798
0.008,1.73891,-0.356448,33.03,-19.0287
0.01,0.218609,-0.718385,6.54623,43.188
0.012,2.59386,-0.813006,-6.40905,-89.5186
0.014,0.946186,-0.298086,5.3369,58.1451
0.016,2.32554,-1.1312,22.5482,20.2551
0.018,2.46669,-1.11996,108.16,-71.525
0.02,1.66826,0.640039,98.3505,-13.869
0.022,1.12862,-0.543999,-75.4298,-7.06698
0.024,4.22539,-2.36737,3.596,48.202
0.026,2.1709,0.148328,72.8444,60.9466
0.028,0.532678,0.966537,-22.6793,-67.1403
0.03,0.852044,1.38459,-41.3417,36.8095
0.032,1.46924,-1.62093,-1.44204,28.9647
0.034,0.0591879,-0.515931,-80.6688,-48.9949
0.036,3.04998,-0.046635,46.3628,8.12642
0.038,1.17242,2.05971,-119.413,-27.4183
0.04,2.42714,1.3304,-28.4929,36.9666
0.042,0.111966,-1.05174,53.6514,21.7116
0.044,-0.204639,-0.714788,79.0814,5.39956
0.046,1.52618,2.3411,-2.93696,-5.39572
0.048,1.51526,0.267467,-28.4858,71.6317
0.05,0.954536,0.272032,-23.6864,-24.7489
0.052,0.391641,-0.162478,37.1799,-57.8827
0.054,0.281897,-1.30835,148.133,-23.278
0.056,-0.297152,0.948356,-6.56767,83.412
0.058,1.74692,-1.96506,-50.7281,75.5481
0.06,1.93873,-0.0832088,106.649,-13.3341
0.062,3.97551,-0.0968992,-17.7505,-40.3486
0.064,1.53028,-0.841642,49.8241,8.13578
0.066,2.75957,0.661745,-80.2091,-58.6275
0.068,2.8951,0.1341,14.3726,-10.9027
0.07,2.33692,2.03172,-80.8745,-120.328
0.072,0.588486,0.900436,-71.1183,-59.9367
0.074,3.20238,0.610065,51.8134,-46.3411
0.076,0.495808,-0.133408,-81.5068,-16.3834
0.078,3.49792,0.649081,1.22191,-65.4345
0.08,3.02918,-1.71255,-23.4615,32.6682
0.082,1.93717,1.13249,-15.9921,114.617
0.084,0.169838,1.59051,-114.176,49.4924
0.086,1.93882,-0.343741,-76.9701,4.5184
0.088,3.31701,1.01221,98.8957,-85.6882
0.09,1.57507,-1.85383,-143.281,-59.2482
0.092,0.32828,0.124417,-25.5148,93.0808
0.094,3.29909,-1.96729,-40.4553,-21.5716
0.096,2.39297,-1.12337,-190.992,-135.315
0.098,2.23261,1.05411,-65.0146,2.69285
0.1,1.27559,0.608368,-7.39223,-3.52657
0.102,2.14843,2.69076,35.2459,-127.686
0.104,0.723354,-1.3287,169.095,75.5128
0.106,0.369295,-0.619196,139.213,60.7886
0.108,0.124229,-0.765268,3.49561,-4.82885
0.11,1.41205,1.94639,85.6064,-22.6048
0.112,0.750875,1.16437,25.2266,-59.1456
0.114,4.17915,-2.15365,84.1017,78.7577
0.116,1.57849,0.8134,-25.4541,193.597
0.118,1.88393,0.0262066,63.0141,39.05
0.12,1.85368,-0.927064,36.1786,-91.6919
0.122,0.471293,0.711594,63.4912,-126.582
0.124,3.96519,0.984182,-37.8826,-93.3995
0.126,3.53304,2.1847,-28.8031,50.4296
0.128,4.35011,-0.321884,-47.2415,213.391
0.13,2.39523,1.10037,-40.9666,55.2947
0.132,0.991543,1.05026,294.197,-9.93904
0.134,2.37395,1.02139,22.8497,167.636
0.136,0.928749,2.78841,108.501,-126.73
0.138,0.493626,0.227877,-189.827,132.104
0.14,1.81851,0.939797,124.777,-136.691
0.142,1.84682,2.83585,253.594,262.707
0.144,1.55487,2.13612,44.1525,-37.9854
0.146,1.13004,0.469467,192.216,-18.0818
0.148,2.49176,1.27585,-35.1165,-83.0215
0.15,0.405393,-2.43425,-120.616,87.4396
0.152,-1.43556,1.40748,-248.248,46.6976
0.154,1.68612,0.222102,-125.457,85.1766
0.156,1.71701,1.04688,214.187,24.1251
0.158,4.81859,-0.267328,-419.032,60.2873
0.16,0.492734,-0.0155915,-255.002,48.6646
0.162,-0.209959,0.575666,84.8432,71.6968
0.164,2.34281,1.23071,145.522,-11.5428
0.166,2.17938,-0.728336,-238.05,-206.477
0.168,0.903797,-0.673434,223.452,338.067
0.17,6.71358,1.83629,-245.887,-45.4076
0.172,3.63157,3.0652,0.473655,229.974
0.174,4.42053,4.03726,-186.185,79.723
0.176,0.60881,2.34558,-553.04,215.502
0.178,0.595608,1.1915,198.803,153.773
0.18,2.61979,1.90834,219.76,344.255
