# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 1000000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.001
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.2472,0.0555687,81.9641,-60.2345
0.004,0.177952,0.201546,-143.592,83.1168
0.006,1.18626,-0.0846983,33.7834,-101.298
0.008,1.52277,-1.35269,18.8812,163.514
0.01,0.938071,0.636987,-63.7859,-4.48123
0.012,2.10856,0.88825,-147.791,-107.894
0.014,1.62866,-0.234905,134.224,35.3122
0.016,1.00359,0.573979,37.8754,162.042
0.018,1.33791,-1.06648,-56.1105,-165.043
0.02,2.41891,-0.623719,109.037,-0.81216
0.022,1.45632,-0.424916,298.39,181.627
0.024,0.679615,0.214513,67.4386,-111.841
0.026,1.73612,-0.272024,65.2781,-90.3724
0.028,0.981514,0.0692554,212.245,131.916
0.03,1.80162,-0.162286,-106.642,-38.2637
0.032,0.895693,0.675603,149.47,66.0499
0.034,2.18455,0.224357,121.32,147.62
0.036,1.47152,0.63426,-28.5911,-40.1653
0.038,2.09085,0.072603,-107.534,32.3333
0.04,0.427794,-0.365808,-52.6906,-228.175
0.042,1.09237,0.0622792,-34.1699,-216.504
0.044,0.89554,-0.160179,30.6153,16.2711
0.046,1.93029,-0.0616423,148.229,-134.249
0.048,0.239264,-0.0742636,88.841,-6.52155
0.05,2.45568,0.174549,-40.0051,258.95
0.052,1.50713,0.592406,15.03,76.5
0.054,1.71924,-1.9334,25.3265,-120.094
0.056,1.33328,0.294994,-6.05456,163.243
0.058,1.06398,0.458321,230.782,-42.9172
0.06,1.43316,0.843466,-167.291,-13.7949
0.062,0.833901,0.0568518,-241.821,161.019
0.064,1.76015,0.486724,-232.725,-185.856
0.066,2.90033,1.11675,31.2137,-47.1106
0.068,1.36253,-0.252414,-135.817,-100.723
0.07,1.69573,-0.446297,-49.0675,2.7284
0.072,1.32859,1.61659,-200.464,-102.724
0.074,0.601677,0.746823,-180.198,180.757
0.076,0.799002,0.410092,78.6838,-171.415
0.078,0.680884,0.648895,174.093,-223.68
0.08,2.04555,-0.488566,-308.976,64.4367
0.082,1.31907,0.0123437,12.4228,100.302
0.084,0.890571,0.282186,-6.74397,1.25649
0.086,-0.267359,1.49978,-83.6968,46.896
0.088,1.8987,1.22306,53.9734,-236.324
0.09,1.23689,0.784633,233.453,-115.04
0.092,2.3997,1.10977,527.635,-109.164
0.094,1.0553,0.425407,211.159,115.275
0.096,2.67225,-0.0572943,78.103,-378.128
0.098,1.21781,0.204026,20.4251,10.0358
0.1,1.78027,1.13813,-129.35,-232.268
0.102,0.556192,0.178099,-32.8977,-17.4738
0.104,1.98365,1.05486,-16.4201,-300.541
0.106,1.35,-0.993167,14.3815,71.2636
0.108,1.82405,0.477574,-243.143,45.868
0.11,1.61842,-0.110907,-272.618,66.8469
0.112,1.76292,1.033,-444.88,89.6108
0.114,2.99176,-0.288071,-175.857,-152.526
0.116,0.979141,-0.889047,-51.9155,-274.717
0.118,1.34004,1.14745,182.383,203.24
0.12,1.22223,-0.273921,-190.788,263.085
0.122,1.49876,-0.520618,134.732,360.229
0.124,1.18685,0.445046,644.016,-7.33417
0.126,1.79692,-0.382962,102.928,31.0706
0.128,2.29683,-1.6181,130.91,362.211
0.13,1.99899,0.513165,-76.4116,-110.351
0.132,0.854451,0.156569,87.4781,30.4811
0.134,2.13798,0.313674,-524.098,-309.643
0.136,1.70374,0.804612,-224.796,19.4413
0.138,0.104422,0.747465,88.2065,543.689
0.14,0.394163,0.655483,558.965,-359.368
