# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.42966,0.0117077,0.00324606,-0.000306423
0.004,1.42667,0.00834893,0.00072316,0.006831
0.006,1.42115,0.0178393,0.000790673,0.0041261
0.008,1.42805,0.0121524,-0.00143648,0.00507901
0.01,1.40298,0.0308911,0.00128526,0.00116985
0.012,1.42409,0.0343192,-0.00271804,0.00922736
0.014,1.43033,0.0218959,0.000111038,0.00330169
0.016,1.42566,0.049587,-0.00419184,-0.00522608
0.018,1.42959,0.0506247,0.00123725,0.000389381
0.02,1.43204,0.0645371,-0.00400592,-0.00997224
0.022,1.43852,0.0505229,-0.00527359,0.003731
0.024,1.41029,0.0719611,-0.00276202,-0.00577073
0.026,1.43189,0.0794046,0.00553622,-0.0065538
0.028,1.41087,0.0965589,0.00186492,-0.00600407
0.03,1.41733,0.0797421,-0.0116996,0.000831187
0.032,1.43531,0.0829868,0.00597607,0.00878035
0.034,1.44585,0.115507,-0.00648916,-0.00609224
0.036,1.41943,0.108267,0.0010664,-0.000277198
0.038,1.44395,0.130708,-0.00469176,-0.0155407
0.04,1.42498,0.112679,0.00260942,-0.00353403
0.042,1.43574,0.0875954,7.68292e-06,-0.00406432
0.044,1.42388,0.137939,0.00474826,0.00917293
0.046,1.4083,0.133626,-0.00781573,0.00054467
0.048,1.41965,0.146847,-0.00086455,-0.00117911
0.05,1.43033,0.156503,0.000819213,0.00251311
0.052,1.43379,0.150878,0.000753426,-0.00127082
0.054,1.4312,0.15718,-0.0140321,-0.00328818
0.056,1.4422,0.145064,-0.00671096,-0.00745796
0.058,1.43136,0.153931,-0.0063258,-0.00348457
0.06,1.38573,0.177302,-0.00219098,0.0037397
0.062,1.42332,0.174293,-0.00783837,0.00499919
0.064,1.42597,0.169724,-0.00644754,0.000439452
0.066,1.44338,0.190094,0.0125354,-0.00764277
0.068,1.44149,0.199683,-0.00483686,0.00304745
0.07,1.4105,0.184205,0.00568106,-0.000693745
0.072,1.43054,0.193787,0.00224437,-0.00967563
0.074,1.4178,0.228012,-0.00118087,0.00461324
0.076,1.43985,0.207956,-0.00911457,0.00196237
0.078,1.41776,0.219456,0.00540539,-9.61866e-05
0.08,1.43166,0.249823,-0.00236804,-0.00637635
0.082,1.43039,0.258731,0.00224522,-0.00107779
0.084,1.42324,0.237742,0.00126474,-0.00564032
0.086,1.42783,0.240151,-0.00669092,0.00673114
0.088,1.42489,0.260216,-0.0045203,-0.00211551
0.09,1.44154,0.254273,-0.0123949,-0.00326278
0.092,1.41298,0.271362,-0.0052029,-0.0133363
0.094,1.45355,0.241894,0.0090883,0.0107751
0.096,1.43837,0.29708,0.0001957,-0.00647067
0.098,1.43274,0.292474,0.00164877,0.00890127
0.1,1.44136,0.273122,0.00239948,-0.00492196
0.102,1.45213,0.288007,0.00765093,-0.0100958
0.104,1.43536,0.308024,0.00595947,0.00466873
0.106,1.4296,0.325763,-0.0126309,-0.0249129
0.108,1.42282,0.324724,-0.0189542,0.0163864
0.11,1.42854,0.330133,0.00470191,0.00151434
0.112,1.45144,0.333037,0.00529577,0.00591742
0.114,1.441,0.363253,-0.0106504,0.0119777
0.116,1.45755,0.340876,0.00234981,-0.0184329
0.118,1.42628,0.343278,0.011503,-5.50195e-05
0.12,1.43613,0.343698,0.00469632,0.0265413
0.122,1.42824,0.370719,-0.0042031,4.94103e-05
0.124,1.4335,0.363147,0.00354962,-0.0086762
0.126,1.45068,0.378752,-0.0132889,0.00249486
0.128,1.45886,0.391333,0.0154893,0.00611949
0.13,1.44521,0.397126,0.0109138,0.0035001
0.132,1.44908,0.404818,-0.0163159,-0.000365723
