# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3e-05
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,-nan,-nan,-nan,-nan
0.002,1.37843,0.0212582,0.387792,0.517746
0.004,1.46352,0.0344188,0.405544,0.28418
0.006,1.60919,0.309503,-0.663638,0.539267
0.008,1.7078,0.121626,0.561475,0.170817
0.01,1.41593,0.0367979,0.0572502,0.224889
0.012,1.44812,0.0505866,-0.541549,-0.380115
0.014,1.42275,0.160681,-0.194834,-0.561152
0.016,1.49818,0.0602108,-0.281189,-0.249898
0.018,1.45297,0.26743,-0.617601,-0.0110251
0.02,1.61164,0.163395,0.0351236,0.0652391
0.022,1.40244,-0.0635193,0.696624,-0.165837
0.024,1.41239,0.0307192,-0.000696541,-0.50444
0.026,1.45138,0.333995,1.03678,0.656349
0.028,1.38864,0.136242,0.0043504,-0.426292
0.03,1.60545,0.117323,-0.426524,-0.101733
0.032,1.38424,0.16169,-0.566379,0.234572
0.034,1.50305,0.351232,0.592725,-0.0192953
0.036,1.3198,0.0806975,-0.0146002,-0.973587
0.038,1.46031,0.0637204,0.220724,-0.192338
0.04,1.68171,0.0336154,0.376481,-0.0297364
0.042,1.49908,0.105512,0.633377,-0.721757
0.044,1.42808,0.210791,0.252989,0.122408
0.046,1.54616,0.029309,0.462611,0.0539739
0.048,1.50111,0.130104,-0.222674,-0.419326
0.05,1.61054,0.093473,-0.449745,-0.44881
0.052,1.62347,0.231225,-0.0188733,-0.198723
0.054,1.64526,0.364354,0.878041,-0.690645
0.056,1.6579,0.257814,-0.194512,-0.551622
0.058,1.42869,0.241052,0.639235,0.427809
0.06,1.6767,0.252737,-0.067746,0.0228572
0.062,1.34031,0.148706,-0.0407046,0.532951
0.064,1.63973,0.0608074,0.985434,-0.289323
0.066,1.51882,0.337919,-0.392738,0.615688
0.068,1.5566,0.270099,-0.228701,-0.60492
0.07,1.37079,0.219314,-0.254129,-0.21898
0.072,1.49754,0.130976,-0.531506,-0.68237
0.074,1.41361,0.313115,0.420427,0.717942
0.076,1.47536,0.29377,0.435422,-0.00518189
0.078,1.77526,0.321758,0.517029,-0.287877
0.08,1.49863,0.277546,0.605931,0.711642
0.082,1.7683,0.290738,-0.488693,0.408233
0.084,1.53124,0.311287,0.418373,0.38502
0.086,1.4142,0.360613,0.337085,0.663318
0.088,1.52462,0.407429,-0.336993,0.216495
0.09,1.43995,0.347557,-0.130679,-0.566966
