# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3e-06
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,1.79264e+18,0,2.93508e+34,0
0.002,1.90627,-0.0310221,0.0426004,-3.15724
0.004,1.52532,0.0702835,2.74579,0.883499
0.006,1.1632,-0.104835,-3.34807,-6.32752
0.008,1.74464,0.433098,3.13323,9.43797
0.01,1.34708,-0.297567,-6.41369,0.246638
0.012,1.50065,-0.109413,4.01455,-4.9593
0.014,1.36028,0.0223849,-5.96438,3.9681
0.016,1.53115,0.802584,-0.236813,-1.13607
0.018,1.38087,-0.132949,-1.07522,-6.5501
0.02,1.31544,-0.253537,6.26627,-1.03852
0.022,1.61026,-0.0661128,-4.52567,3.06607
0.024,1.25342,0.0914807,-7.22301,-1.86927
0.026,1.59282,0.0530521,-1.26677,0.33754
0.028,1.60291,0.597461,4.59912,-4.47387
0.03,1.55178,-0.0277819,2.76184,-5.49704
0.032,1.4488,-0.354295,-0.561509,-6.265
0.034,1.83236,0.0277747,-2.09949,-0.573145
0.036,1.25949,-0.342512,6.42376,-1.95775
0.038,1.21728,-0.319887,-0.485199,3.52501
0.04,1.37233,-0.0289376,2.30717,7.034
0.042,1.94786,0.533681,3.05909,-1.48687
0.044,1.59801,0.172823,-5.06479,-3.67478
0.046,2.03783,0.682821,-3.89178,-4.00444
0.048,1.51174,-0.316066,-7.12922,-9.09699
0.05,1.74045,-0.135092,-2.69301,5.51099
0.052,1.13616,0.167504,-4.07531,-4.33254
0.054,1.4703,-0.0398836,1.86977,-4.14829
0.056,1.4468,-0.0020508,1.13261,-2.34855
0.058,1.33943,0.169693,-5.44384,5.42527
0.06,1.38876,0.21836,-3.08076,2.32166
0.062,1.29955,0.355784,5.98644,4.06893
0.064,2.46333,0.328193,4.55649,5.69228
0.066,0.621154,0.0506764,-0.630021,5.94638
0.068,1.10594,0.0710515,-0.759731,-1.97397
0.07,1.78506,1.02901,2.95065,6.23596
0.072,1.16585,0.557352,5.91756,2.32001
0.074,1.73695,0.814092,-4.9554,5.38588
0.076,2.01931,0.580368,4.77848,-0.524278
0.078,1.62098,0.298116,-3.11444,-2.87451
0.08,2.12729,0.122019,6.73329,-7.81381
0.082,1.27275,0.301509,-0.355784,4.88167
0.084,1.0857,0.700399,-5.19049,-5.07232
0.086,1.90451,0.399697,2.10404,5.65574
0.088,1.51728,-0.153382,-11.8907,1.2494
0.09,1.73234,-0.145132,9.21468,9.28545
0.092,1.97938,-0.305595,3.37614,2.85317
0.094,1.68923,0.188505,1.91352,10.1799
0.096,2.14005,0.423984,3.34707,-9.5479
0.098,1.18958,0.252802,6.83146,-2.68353
0.1,1.74569,-0.0760293,3.07999,-6.36765
0.102,1.48838,1.03541,1.08016,4.09571
0.104,2.16077,0.410267,-2.37691,3.48405
