# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 10000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 3
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,1.18563e-13,0,7.80875e-26,0
0.002,1.37845,0.0172872,-0.0726358,0.0488989
0.004,1.36601,0.0132426,0.0300888,-0.159932
0.006,1.36479,0.0135746,-0.0437477,0.111088
0.008,1.38437,0.0131751,0.0578443,-0.0119377
0.01,1.36772,0.0100848,0.0402396,-0.00714767
0.012,1.38694,0.0313136,-0.102867,0.0639422
0.014,1.36401,0.0336818,-0.0835207,-0.0200965
0.016,1.38404,0.033471,-0.000127356,0.106274
0.018,1.36573,0.0433629,-0.116575,-0.170893
0.02,1.35689,0.0474977,-0.067064,0.0107748
0.022,1.36858,0.0625925,0.212126,-0.0510627
0.024,1.37481,0.054517,0.0127194,-0.10444
0.026,1.38597,0.0692655,-0.200959,-0.0624957
0.028,1.37394,0.0552228,-0.0131006,0.107015
0.03,1.37311,0.0737254,0.0425211,-0.0629218
0.032,1.37782,0.0869429,0.0222572,-0.175332
0.034,1.3824,0.0831906,-0.000103213,-0.0385494
0.036,1.36536,0.098432,0.0238195,-0.164166
0.038,1.3748,0.0949192,0.123716,-0.139715
0.04,1.36927,0.07921,-0.0213355,-0.066619
0.042,1.39511,0.112155,0.0762397,0.0334506
0.044,1.36857,0.106637,-0.0684437,0.0880764
0.046,1.3927,0.110485,-0.122933,0.040457
0.048,1.368,0.126025,0.106716,0.0256761
0.05,1.37755,0.104947,0.0352579,0.08598
0.052,1.37549,0.143907,-0.137191,-0.0415433
0.054,1.37755,0.135759,-0.0763687,-0.0305132
0.056,1.37014,0.121698,-0.00809993,-0.0972171
0.058,1.37521,0.117083,-0.177061,-0.0697672
0.06,1.36326,0.139823,-0.0478467,-0.193858
0.062,1.40288,0.162717,-0.213379,-0.0511344
0.064,1.37335,0.134032,0.0988449,-0.0890616
0.066,1.36326,0.160082,0.0243638,0.111303
0.068,1.38491,0.149739,-0.0633935,-0.0460099
0.07,1.36319,0.168702,-0.142402,-0.386628
0.072,1.37961,0.16973,-0.0851836,-0.00907944
0.074,1.36689,0.175165,-0.00214544,-0.18035
0.076,1.3806,0.189336,-0.135933,-0.070872
0.078,1.39276,0.186488,-0.00484624,-0.0363542
0.08,1.38297,0.201115,0.0125977,-0.0376825
0.082,1.38156,0.182132,-0.120598,0.0801419
0.084,1.3737,0.202364,-0.0269497,-0.333096
0.086,1.38042,0.180222,-0.0532084,-0.00593048
0.088,1.38464,0.209362,-0.316994,0.0186286
0.09,1.3958,0.216374,-0.107344,0.0809239
0.092,1.40257,0.22383,-0.0206149,0.0471506
0.094,1.39399,0.227502,-0.247205,-0.12625
0.096,1.38982,0.229762,0.0685671,0.0445617
0.098,1.38605,0.224398,-0.0714337,0.120909
0.1,1.38288,0.235581,-0.00270996,0.049826
0.102,1.38661,0.26669,0.0305893,-0.160352
0.104,1.36898,0.256368,-0.135184,-0.0687453
0.106,1.38284,0.270247,0.05253,0.0552029
0.108,1.39818,0.268038,-0.0333103,0.277195
0.11,1.38445,0.272426,-0.197647,-0.217652
0.112,1.39867,0.276598,-0.0446772,-0.168852
0.114,1.38694,0.277389,0.0552551,-0.00117398
0.116,1.41691,0.288255,-0.116698,-0.145796
0.118,1.41666,0.29167,-0.116331,-0.0835012
0.12,1.41167,0.303978,0.114236,-0.263694
0.122,1.39816,0.309403,-0.112365,-0.143616
0.124,1.40352,0.322818,-0.126487,-0.148809
0.126,1.40582,0.309233,-0.169665,0.116427
0.128,1.40435,0.32958,0.0107591,0.257267
0.13,1.42272,0.312054,-0.0637921,0.00962243
0.132,1.39868,0.342975,0.128867,-0.0497243
0.134,1.41194,0.342802,-0.0187194,-0.0118219
0.136,1.40714,0.336682,-0.198691,-0.231807
