# SPIKE SUSCEPTIBILITY SIMULATION
# -------------------------------
#
# N_neurons = 100000
#
# Neuron parameters: 
# mu = 1.1
# D = 0.001
#
# TimeFrame: 
# t_0 = 0
# t_end = 500
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 0.003
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Suscept_1), Im(Suscept_1), Re(Suscept_2), Im(Suscept_2)
#
0,3.37247e-12,0,7.66522e-23,0
0.002,1.53294,0.0458582,13.3152,13.3002
0.004,1.54103,0.0130487,-1.8473,-2.21023
0.006,1.68943,0.156517,-10.4901,25.1872
0.008,1.44367,0.0870938,15.0051,6.9572
0.01,1.64965,0.0555734,-23.3814,2.20742
0.012,1.49064,0.117499,-8.52933,-13.5786
0.014,1.55792,-0.0617064,13.0686,6.69721
0.016,1.6451,-0.0672767,23.9554,-3.74173
0.018,1.54349,0.120436,6.38164,8.61478
0.02,1.52559,0.0072544,-45.497,-26.8339
0.022,1.65746,0.000883262,8.93037,-4.64603
0.024,1.50791,0.118404,52.3452,7.12548
0.026,1.48303,0.0374694,27.5411,7.35876
0.028,1.57164,0.203846,-8.3916,-45.9055
0.03,1.55445,0.0831001,0.248313,13.8151
0.032,1.40333,0.127614,-28.4129,-19.9036
0.034,1.51616,0.0481547,-12.6417,-13.4709
0.036,1.4446,0.0880517,-3.52608,-10.561
0.038,1.59658,0.113852,35.181,4.04592
0.04,1.45605,0.0594716,-57.9043,-4.66978
0.042,1.49846,0.0254289,-0.100789,-13.4196
0.044,1.43867,0.147125,-2.06967,3.96838
0.046,1.43841,0.202549,-6.79243,-29.4513
0.048,1.39829,0.0890494,-9.19691,-19.143
0.05,1.38029,0.188542,2.37045,-1.11589
0.052,1.42672,0.111794,13.7469,-13.8957
0.054,1.43256,0.0942356,-4.04838,-5.50815
0.056,1.35015,0.161329,1.80233,20.898
0.058,1.62051,0.112202,-8.51309,4.2882
0.06,1.56017,0.162876,5.06016,-16.9739
0.062,1.56626,0.274367,-1.89016,-31.4481
0.064,1.71211,0.222948,-0.209479,-16.6593
0.066,1.62476,0.309706,-12.1342,2.99449
0.068,1.45579,0.214567,16.7724,68.0915
0.07,1.62836,0.173794,-28.9985,-13.3909
0.072,1.59092,0.365143,-1.8852,-8.12576
0.074,1.50981,0.0726652,34.7081,-15.465
0.076,1.50212,0.193246,-0.404528,-3.7294
0.078,1.60604,0.302816,-28.438,35.1123
0.08,1.50808,0.294774,0.431971,-23.7109
0.082,1.5468,0.279487,1.2675,21.5885
0.084,1.42109,0.40038,1.71655,1.05908
0.086,1.48797,0.33965,3.97504,5.04203
0.088,1.60847,0.379003,36.3164,-75.7664
0.09,1.47962,0.381952,-27.9336,39.6293
0.092,1.55822,0.305288,-10.7681,18.4755
0.094,1.57922,0.315145,-9.5791,47.3525
0.096,1.56838,0.336939,3.43376,8.14381
0.098,1.52924,0.271673,-33.8159,-33.4207
0.1,1.53693,0.39076,32.4436,-17.9261
0.102,1.39708,0.373569,-14.124,-1.36188
0.104,1.53872,0.511998,15.0305,-41.3954
0.106,1.58974,0.512728,-12.1103,5.03987
0.108,1.42719,0.528565,-51.0312,-32.6101
0.11,1.44446,0.243212,-23.1772,-23.3755
0.112,1.69465,0.312098,-9.64598,-5.2813
0.114,1.55911,0.397034,10.0546,-2.7182
0.116,1.53321,0.333036,16.1468,42.4838
0.118,1.43831,0.516741,49.8311,27.3639
0.12,1.51255,0.435297,11.2716,-5.68544
0.122,1.59303,0.315251,13.9469,0.420246
0.124,1.46816,0.532873,-5.48046,8.51271
0.126,1.56551,0.493573,20.5224,5.39161
0.128,1.28297,0.448068,11.9125,16.9432
0.13,1.44753,0.585548,-93.6786,36.2165
0.132,1.49384,0.626619,-43.0731,45.7993
0.134,1.48646,0.495615,-26.4878,3.48666
0.136,1.51339,0.595352,-62.2521,6.5321
0.138,1.29304,0.487437,-29.7696,59.2606
0.14,1.41823,0.712016,-23.2396,-31.9825
0.142,1.6383,0.461733,-32.3756,-40.5405
0.144,1.52489,0.58818,-18.3679,63.9703
0.146,1.64929,0.459081,6.16911,58.8113
0.148,1.58093,0.563415,76.5614,11.7792
0.15,1.36543,0.532397,-20.868,13.7569
0.152,1.48063,0.726464,-8.6395,-0.278171
0.154,1.50779,0.535778,70.705,95.2445
0.156,1.44913,0.561833,64.8912,44.6383
0.158,1.46792,0.612038,19.4577,18.6965
0.16,1.40705,0.700272,-25.7169,-43.2081
0.162,1.60533,0.669534,-2.18498,-35.2871
0.164,1.53135,0.807572,88.0002,-33.6916
0.166,1.43368,0.790666,-43.8028,76.1944
0.168,1.38048,0.739519,-44.7316,-42.2988
0.17,1.5954,0.55824,-68.7175,36.545
0.172,1.39407,0.892847,-36.2873,-109.286
0.174,1.59081,0.785733,-89.6629,-81.8443
0.176,1.40432,0.49703,-66.7519,-9.77919
0.178,1.45589,0.78398,148.022,-64.1976
0.18,1.35674,0.609519,33.2878,-66.4273
0.182,1.64408,0.792456,-145.695,-62.5879
0.184,1.45107,0.926367,120.296,117.725
0.186,1.48251,0.506724,170.259,146.858
0.188,1.43162,0.690174,-56.8507,113.259
0.19,1.36595,0.807635,143.606,-110.34
0.192,1.74383,0.783139,-285.202,-231.376
0.194,1.42108,0.809897,352.778,116.234
0.196,1.41742,0.806862,-46.7841,328.097
0.198,1.41292,0.697713,-16.4443,165.216
0.2,1.35365,0.954869,70.804,-21.6509
0.202,1.45331,0.876651,-87.3683,-708.224
0.204,1.46973,0.912876,30.573,-59.051
0.206,1.69989,1.07548,-81.5234,-218.525
0.208,1.56107,0.876041,21.4683,186.63
0.21,1.59132,0.915665,-127.64,529.022
0.212,1.58104,0.959394,21.8467,-82.9372
0.214,1.65332,0.813465,54.3694,-501.093
0.216,1.38576,0.937765,-168.179,-779.799
0.218,1.52631,0.919919,-392.812,-394.787
0.22,1.39505,1.14568,612.097,288.673
0.222,1.44655,1.04144,98.5262,-72.8377
0.224,1.60679,1.00766,221.799,-238.314
0.226,1.45702,1.03453,-21.2148,314.004
0.228,1.46191,0.943214,-171.465,35.6325
0.23,1.43516,1.03499,-34.5094,-74.7841
0.232,1.42005,1.05034,46.4818,168.44
0.234,1.47451,1.21476,-232.999,-142.945
0.236,1.40287,0.971433,-159.942,-25.7394
0.238,1.50485,1.08613,21.4846,138.755
0.24,1.47031,1.10913,37.9015,-21.8553
0.242,1.7819,1.2385,-44.7564,-89.83
0.244,1.44796,1.08464,-34.0484,132.061
0.246,1.76985,1.373,135.557,67.2858
0.248,1.17635,1.17888,-89.097,121.246
0.25,1.64286,1.19462,-112.085,23.6427
0.252,1.45782,1.25337,217.468,162.2
0.254,1.39516,1.15869,-126.326,23.7136
0.256,1.63616,1.37145,-169.008,-37.0721
0.258,1.37924,1.38807,46.6786,319.591
0.26,1.50316,1.46547,-64.635,-5.84778
0.262,1.56245,1.51851,-23.361,14.3745
0.264,1.45339,1.30119,-6.08089,38.0654
0.266,1.60678,1.47401,-139.483,-83.3248
0.268,1.59618,1.70076,166.475,27.083
0.27,1.46813,1.67404,98.9204,30.2632
0.272,1.55352,1.14724,43.6466,165.944
0.274,1.31519,1.32694,47.276,144.064
0.276,1.47692,1.42708,-109.902,-72.6783
0.278,1.37074,1.46589,133.49,62.3872
0.28,1.51772,1.47362,-69.1427,8.74703
0.282,1.45969,1.76364,-108.777,-36.2737
0.284,1.40511,1.60082,148.75,45.1676
0.286,1.48816,1.71699,62.4602,46.1513
0.288,1.07284,1.72619,-34.7752,-59.818
0.29,1.41083,1.84034,-57.5696,20.8184
0.292,1.30693,2.01297,82.1826,-120.029
0.294,1.21697,1.84086,52.9857,44.9031
0.296,1.56072,1.38454,-7.55999,50.6754
0.298,1.68599,1.73574,47.9042,-207.932
0.3,1.16998,1.45846,-51.1009,-77.784
0.302,1.41343,1.74869,-31.2295,96.48
0.304,2.09884,1.63855,-70.6509,-18.7699
0.306,1.73332,1.79233,-59.1047,47.9915
0.308,1.19207,2.31609,-55.1642,-95.0401
0.31,1.47246,1.74048,18.7327,25.4498
0.312,1.73858,1.6386,-19.532,9.23487
0.314,1.96713,1.71907,6.32722,0.552298
0.316,1.81878,2.34214,-112.42,85.8898
0.318,1.7064,2.26287,70.1956,70.6617
0.32,1.60736,2.24452,-16.5421,-60.7418
0.322,0.895127,2.6567,-30.1984,92.8132
0.324,1.35695,1.97481,-2.7199,63.407
0.326,1.26373,2.73554,22.1128,-14.0293
0.328,1.99992,2.29876,-61.0732,-20.8597
0.33,2.10432,2.10186,95.1598,-13.7097
0.332,1.56607,2.20922,12.0488,2.16206
0.334,2.22249,2.55978,-57.002,60.7999
0.336,1.96784,2.6317,78.5903,-42.3809
0.338,1.71886,2.89692,-114.999,157.39
0.34,2.05095,2.44206,18.3592,35.2575
0.342,1.68546,3.27819,-82.1834,75.0633
0.344,2.02136,2.34578,-30.3362,28.2054
0.346,1.61415,2.85279,-213.57,-51.1788
0.348,1.66861,2.32088,-91.0008,6.67618
0.35,1.01037,3.16292,65.7452,-15.7635
0.352,2.39217,2.90943,48.3497,-124.294
0.354,2.16829,3.37915,40.7756,-105.061
0.356,1.92045,3.64621,-119.188,-17.9937
0.358,1.99543,2.95184,-52.2852,95.9484
0.36,2.36471,3.46559,9.05761,-162.383
0.362,1.84005,3.49967,-56.6843,170.637
0.364,2.08552,3.51246,7.15085,46.7953
0.366,2.2784,4.33433,-60.2686,76.1477
0.368,2.59217,3.35067,27.7439,93.2486
0.37,2.75226,3.64965,-38.89,14.2441
0.372,2.36563,4.29682,96.1068,-314.763
0.374,2.91262,5.0481,-46.6736,-106.992
0.376,3.53933,4.86036,141.803,115.341
0.378,1.43346,3.9607,8.47175,82.99
0.38,2.59041,4.06746,37.4012,-68.7392
0.382,1.89488,5.28301,-252.341,-160.208
0.384,3.2388,4.99535,69.3063,99.0198
0.386,2.94582,5.77625,-112.431,197.077
0.388,2.41551,5.83134,69.5167,306.489
0.39,3.51772,5.76401,196.796,-111.976
0.392,3.83629,5.32712,101.366,31.8242
0.394,5.296,6.49124,-59.9361,-7.72161
0.396,3.92195,5.61242,224.165,-21.0735
0.398,4.82342,6.45408,-180.561,-169.144
0.4,4.08134,7.29769,-117.02,187.885
0.402,6.19329,7.43045,63.7954,243.071
0.404,4.1633,5.48809,97.1788,-217.546
0.406,6.78755,6.44456,89.7117,422.066
0.408,6.39277,6.74814,-177.403,-95.4137
0.41,7.14248,5.26465,-21.0664,-142.254
0.412,9.65817,8.14528,21.8647,150.5
0.414,10.8559,6.56866,-219.172,83.989
0.416,8.69001,6.99282,-121.446,-208.368
0.418,11.9708,9.1949,-230.374,62.1273
0.42,13.924,4.85232,-106.444,-54.3037
0.422,15.7502,6.71678,-18.84,19.4723
0.424,14.2582,3.4128,-120.689,-57.4469
0.426,10.6838,-0.501848,222.559,58.3279
0.428,14.1065,-1.58659,-147.241,66.4994
0.43,12.346,0.0290089,-59.2329,-12.2233
0.432,12.2903,-0.985426,53.0562,221.138
0.434,10.919,-3.10732,-192.508,140.355
0.436,10.0183,-4.07365,-95.443,71.4606
0.438,8.31922,-4.37826,-181.973,117.045
0.44,10.4293,-3.33874,144.949,129.18
0.442,10.9461,-4.92141,-51.6188,-167.544
0.444,8.96929,-5.99552,-108.364,-349.736
0.446,4.34757,-2.13717,119.038,87.9677
0.448,10.4529,-4.29607,-193.228,100.469
0.45,6.4311,-2.97145,-215.493,-5.82176
0.452,7.11831,-2.28388,12.9782,66.5411
0.454,5.68145,-3.79212,295.299,-169.139
0.456,7.03738,-5.15991,393.981,-127.775
0.458,5.32664,-3.74097,-209.517,-105.323
0.46,5.73589,-2.03989,189.942,-293.565
0.462,4.34476,-3.89398,8.68845,16.8525
0.464,5.34225,-3.7024,38.3736,72.8849
0.466,5.06738,-3.76776,287.488,63.7092
0.468,4.16006,-3.25337,-74.2265,-191.093
0.47,4.12312,-1.95294,-110.193,187.917
0.472,4.68356,-1.88217,69.1865,-184.375
0.474,5.14301,-2.69131,146.04,84.9382
0.476,4.12541,-2.59006,335.967,9.63245
0.478,4.30204,-3.65415,92.6059,-118.438
0.48,3.97502,-2.13992,184.157,20.4208
0.482,3.74639,-3.80829,-219.187,70.4586
0.484,3.3423,-2.26694,-68.3578,-110.435
0.486,3.00661,-2.60824,-71.5085,-113.339
