# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 3.5
# D = 0.1
# tau_a = 10
# Delta = 0.1
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0,9.22874e+16,0
0.001,0.487943,0.0116029
0.002,0.492464,0.0294531
0.003,0.495116,0.0430248
0.004,0.493637,0.0607219
0.005,0.510865,0.0707996
0.006,0.515762,0.0796136
0.007,0.519559,0.111607
0.008,0.520286,0.114973
0.009,0.525139,0.118103
0.01,0.544697,0.145575
0.011,0.549061,0.155904
0.012,0.55063,0.158974
0.013,0.557037,0.186729
0.014,0.57541,0.170038
0.015,0.583862,0.191573
0.016,0.59259,0.191289
0.017,0.597112,0.186911
0.018,0.603194,0.201904
0.019,0.627591,0.201553
0.02,0.647079,0.201106
0.021,0.626616,0.194335
0.022,0.650989,0.229298
0.023,0.65753,0.214227
0.024,0.667625,0.227779
0.025,0.673078,0.227654
0.026,0.679031,0.231568
0.027,0.694592,0.224313
0.028,0.689976,0.226932
0.029,0.712715,0.240105
0.03,0.711185,0.239683
0.031,0.708684,0.244052
0.032,0.732701,0.217917
0.033,0.731891,0.234658
0.034,0.739669,0.214534
0.035,0.758049,0.218482
0.036,0.763216,0.219662
0.037,0.763072,0.221237
0.038,0.756885,0.223859
0.039,0.772767,0.226261
0.04,0.783714,0.227962
0.041,0.78371,0.21276
0.042,0.790682,0.217223
0.043,0.80096,0.220716
0.044,0.806646,0.220607
0.045,0.800104,0.200445
0.046,0.808444,0.212714
0.047,0.818031,0.221318
0.048,0.815951,0.207625
0.049,0.82414,0.213352
0.05,0.825456,0.210203
0.051,0.817649,0.201359
0.052,0.839543,0.21621
0.053,0.837605,0.191328
0.054,0.836111,0.204181
0.055,0.848468,0.213978
0.056,0.840891,0.199614
0.057,0.850638,0.186171
0.058,0.857343,0.190468
0.059,0.85643,0.188953
0.06,0.876574,0.207551
0.061,0.870734,0.178242
0.062,0.851966,0.190561
0.063,0.8752,0.189771
0.064,0.848304,0.17866
0.065,0.876782,0.171362
0.066,0.866208,0.17991
0.067,0.882176,0.182898
0.068,0.868253,0.168051
0.069,0.888995,0.178118
0.07,0.884565,0.184413
0.071,0.889209,0.182522
0.072,0.88015,0.165933
0.073,0.871696,0.175908
0.074,0.88838,0.165736
0.075,0.893729,0.155401
0.076,0.883238,0.156805
0.077,0.880196,0.156777
0.078,0.900373,0.153844
0.079,0.900098,0.164651
0.08,0.895609,0.15478
0.081,0.904551,0.17097
0.082,0.903432,0.147376
0.083,0.909632,0.146093
0.084,0.910327,0.146048
0.085,0.916809,0.146226
0.086,0.898723,0.138494
0.087,0.910646,0.143625
0.088,0.900804,0.143051
0.089,0.922787,0.132309
0.09,0.923247,0.149575
0.091,0.920117,0.148318
0.092,0.894216,0.151911
0.093,0.899793,0.133639
0.094,0.904761,0.127432
0.095,0.918,0.129081
0.096,0.917949,0.136621
0.097,0.91435,0.116356
0.098,0.915477,0.123286
0.099,0.90603,0.119274
0.1,0.921172,0.13441
0.101,0.924935,0.109607
0.102,0.905133,0.123228
0.103,0.929785,0.125146
0.104,0.927654,0.132543
0.105,0.924176,0.104056
0.106,0.924256,0.128212
0.107,0.937608,0.107567
0.108,0.920506,0.131126
0.109,0.929782,0.118452
0.11,0.925838,0.118839
0.111,0.907061,0.106219
0.112,0.931506,0.105444
0.113,0.922681,0.10121
0.114,0.935033,0.111059
0.115,0.94107,0.109323
0.116,0.942125,0.113158
0.117,0.922705,0.112726
0.118,0.922871,0.1109
0.119,0.933569,0.10964
0.12,0.943301,0.110818
0.121,0.933048,0.104688
0.122,0.92458,0.0967529
0.123,0.934617,0.109456
0.124,0.921648,0.0991248
0.125,0.954689,0.109802
0.126,0.948994,0.113672
0.127,0.921383,0.0811455
0.128,0.927975,0.0810358
0.129,0.924602,0.0923106
0.13,0.927194,0.086947
0.131,0.932414,0.0892904
0.132,0.938882,0.096812
0.133,0.948012,0.0998061
0.134,0.923775,0.0888599
0.135,0.927733,0.0752487
0.136,0.927857,0.0929125
0.137,0.951104,0.0870398
0.138,0.92939,0.097919
0.139,0.941039,0.0955554
0.14,0.949017,0.073092
0.141,0.942359,0.0884855
0.142,0.937297,0.102723
0.143,0.946443,0.112578
0.144,0.944219,0.093873
0.145,0.931847,0.0712752
0.146,0.955791,0.0952485
0.147,0.952857,0.0783242
0.148,0.953297,0.0812118
0.149,0.934755,0.0810772
0.15,0.934616,0.0681529
0.151,0.944664,0.0909709
0.152,0.93309,0.0827529
0.153,0.935273,0.103674
0.154,0.937525,0.0760063
0.155,0.954123,0.0770568
0.156,0.937414,0.0929774
0.157,0.967732,0.0834391
0.158,0.926947,0.0869388
0.159,0.941542,0.0654646
0.16,0.959368,0.0954823
0.161,0.940814,0.090409
0.162,0.948943,0.0634156
0.163,0.939815,0.0642775
0.164,0.935301,0.0748055
0.165,0.944736,0.0725475
0.166,0.939873,0.0761435
0.167,0.942647,0.0671612
0.168,0.963635,0.0793094
0.169,0.932378,0.0598388
0.17,0.933322,0.0633632
0.171,0.95531,0.0794418
0.172,0.941454,0.0672929
0.173,0.945317,0.0618523
0.174,0.927485,0.0792633
0.175,0.945121,0.0807654
0.176,0.959914,0.079025
0.177,0.934062,0.0780989
0.178,0.967507,0.0605863
0.179,0.939337,0.0895976
0.18,0.927508,0.0579495
0.181,0.946885,0.0695443
0.182,0.953604,0.0476248
0.183,0.942438,0.078694
0.184,0.941304,0.0674837
0.185,0.950647,0.0604319
0.186,0.953018,0.0762647
0.187,0.944229,0.0414506
0.188,0.94706,0.0587839
0.189,0.943176,0.0661195
0.19,0.954614,0.069848
0.191,0.95019,0.0573078
0.192,0.934368,0.0663185
0.193,0.95207,0.0413829
0.194,0.957729,0.0526177
0.195,0.950387,0.0496826
0.196,0.956313,0.0641282
0.197,0.941309,0.0578136
0.198,0.943272,0.0568828
0.199,0.956057,0.0652188
0.2,0.966148,0.0845499
0.201,0.948769,0.0496291
0.202,0.951961,0.0411834
0.203,0.957345,0.0493477
0.204,0.961591,0.0544318
0.205,0.955113,0.0595423
0.206,0.947216,0.0362004
0.207,0.936877,0.0437002
0.208,0.939792,0.0565341
0.209,0.922909,0.0633479
0.21,0.957137,0.066037
0.211,0.948389,0.0528543
0.212,0.948643,0.0643493
0.213,0.944701,0.0530501
0.214,0.948011,0.0606552
0.215,0.952836,0.0738816
0.216,0.955797,0.0527844
0.217,0.936198,0.0571518
0.218,0.95258,0.0398039
0.219,0.963529,0.0441705
0.22,0.954112,0.0460334
0.221,0.981864,0.0437369
0.222,0.943029,0.0463967
0.223,0.963326,0.0571587
0.224,0.93875,0.0543885
