0 0
0.001 0.0003 0.00099991
0.002 0.000366667 0.00122209
0.003 0.0004 0.00133317
0.004 0.000433333 0.00144426
0.005 0.000433333 0.00144426
0.006 0.000433333 0.00144426
0.007 0.000533333 0.00177749
0.008 0.000533333 0.00177749
0.009 0.000566667 0.00188857
0.01 0.0006 0.00199964
0.011 0.000733333 0.00244391
0.012 0.000733333 0.00244391
0.013 0.000833333 0.00277708
0.014 0.000866667 0.00288814
0.015 0.000933333 0.00311024
0.016 0.001 0.00333233
0.017 0.001 0.00333233
0.018 0.00103333 0.00344338
0.019 0.00106667 0.00355442
0.02 0.0011 0.00366546
0.021 0.0011 0.00366546
0.022 0.0012 0.00399856
0.023 0.00126667 0.00422062
0.024 0.0013 0.00433164
0.025 0.0013 0.00433164
0.026 0.00143333 0.00477572
0.027 0.0015 0.00499775
0.028 0.00156667 0.00521977
0.029 0.0016 0.00533077
0.03 0.00173333 0.00577477
0.031 0.00186667 0.00621874
0.032 0.0019 0.00632972
0.033 0.002 0.00666267
0.034 0.002 0.00666267
0.035 0.0021 0.00699559
0.036 0.0022 0.00732849
0.037 0.00236667 0.00788329
0.038 0.00243333 0.00810519
0.039 0.00256667 0.00854897
0.04 0.0028 0.00932549
0.041 0.00296667 0.00988009
0.042 0.0031 0.0103237
0.043 0.00333333 0.0111
0.044 0.00343333 0.0114327
0.045 0.00356667 0.0118762
0.046 0.0037 0.0123196
0.047 0.00376667 0.0125414
0.048 0.00386667 0.0128739
0.049 0.00396667 0.0132065
0.05 0.00403333 0.0134282
0.051 0.0042 0.0139824
0.052 0.00433333 0.0144257
0.053 0.00453333 0.0150906
0.054 0.00473333 0.0157554
0.055 0.00496667 0.0165309
0.056 0.00513333 0.0170848
0.057 0.0053 0.0176386
0.058 0.00543333 0.0180816
0.059 0.00556667 0.0185246
0.06 0.00583333 0.0194104
0.061 0.00593333 0.0197426
0.062 0.00603333 0.0200747
0.063 0.00623333 0.0207389
0.064 0.00643333 0.0214031
0.065 0.0067 0.0222884
0.066 0.00703333 0.023395
0.067 0.00723333 0.0240588
0.068 0.0074 0.0246119
0.069 0.00756667 0.025165
0.07 0.0079 0.0262709
0.071 0.00796667 0.0264921
0.072 0.0082 0.0272661
0.073 0.00833333 0.0277083
0.074 0.00856667 0.0284822
0.075 0.00886667 0.0294769
0.076 0.0091 0.0302505
0.077 0.00926667 0.030803
0.078 0.00956667 0.0317974
0.079 0.00996667 0.0331229
0.08 0.0102667 0.0341168
0.081 0.0105667 0.0351106
0.082 0.0108333 0.0359937
0.083 0.011 0.0365457
0.084 0.0112333 0.0373183
0.085 0.0115 0.0382011
0.086 0.0117667 0.0390838
0.087 0.012 0.039856
0.088 0.0124 0.0411796
0.089 0.0126667 0.0420618
0.09 0.0131 0.0434951
0.091 0.0133333 0.0442667
0.092 0.0137667 0.0456994
0.093 0.0140667 0.046691
0.094 0.0145333 0.0482332
0.095 0.0147333 0.048894
0.096 0.0149667 0.0496649
0.097 0.0153333 0.050876
0.098 0.0158667 0.0526371
0.099 0.0161667 0.0536275
0.1 0.0165667 0.0549478
0.101 0.0170333 0.0564876
0.102 0.0173667 0.0575873
0.103 0.0178333 0.0591264
0.104 0.0183333 0.060775
0.105 0.0187 0.0619836
0.106 0.0192 0.0636314
0.107 0.0195333 0.0647296
0.108 0.0198 0.065608
0.109 0.0201667 0.0668155
0.11 0.0203667 0.0674741
0.111 0.0206 0.0682423
0.112 0.0212333 0.0703269
0.113 0.0217667 0.0720818
0.114 0.0221333 0.0732879
0.115 0.0226333 0.0749322
0.116 0.0231 0.0764664
0.117 0.0234667 0.0776715
0.118 0.0237333 0.0785478
0.119 0.0242333 0.0801905
0.12 0.0246333 0.0815043
0.121 0.0250333 0.0828178
0.122 0.0255 0.0843497
0.123 0.0260333 0.0861
0.124 0.0266 0.0879591
0.125 0.0269333 0.0890524
0.126 0.0274667 0.0908011
0.127 0.0278 0.0918938
0.128 0.0282 0.0932048
0.129 0.0287667 0.0950614
0.13 0.0293333 0.0969173
0.131 0.0298 0.0984453
0.132 0.0301 0.0994273
0.133 0.0305 0.100736
0.134 0.0311333 0.102808
0.135 0.0315667 0.104226
0.136 0.0320667 0.105861
0.137 0.0326333 0.107713
0.138 0.0333 0.109891
0.139 0.0337667 0.111415
0.14 0.0342333 0.112939
0.141 0.0347 0.114463
0.142 0.0354333 0.116856
0.143 0.0359 0.118378
0.144 0.0363333 0.119791
0.145 0.0369333 0.121747
0.146 0.0375 0.123594
0.147 0.0379667 0.125114
0.148 0.0383333 0.126308
0.149 0.0388667 0.128045
0.15 0.0393 0.129456
0.151 0.0398 0.131083
0.152 0.0406 0.133685
0.153 0.0411333 0.135419
0.154 0.0417 0.137261
0.155 0.0422333 0.138994
0.156 0.0428333 0.140943
0.157 0.0436 0.143432
0.158 0.0443667 0.14592
0.159 0.0453333 0.149056
0.16 0.0459667 0.151109
0.161 0.0467333 0.153594
0.162 0.0473333 0.155537
0.163 0.0478333 0.157156
0.164 0.0487333 0.16007
0.165 0.0496667 0.163089
0.166 0.0504333 0.165568
0.167 0.0509667 0.167291
0.168 0.0516667 0.169553
0.169 0.0525667 0.172459
0.17 0.0534333 0.175256
0.171 0.0544333 0.178481
0.172 0.0553333 0.181383
0.173 0.0560667 0.183745
0.174 0.0567333 0.185892
0.175 0.0576 0.188682
0.176 0.0582333 0.19072
