t,v
0.017,0.0510846
0.034,0.083625
0.051,0.0928269
0.068,0.108922
0.085,0.0863281
0.102,-0.0057392
0.119,-0.0724103
0.136,-0.0819426
0.153,-0.139195
0.17,-0.116913
0.187,-0.108596
0.204,-0.147713
0.221,-0.147192
0.238,-0.0648803
0.255,-0.102005
0.272,-0.0587021
0.289,-0.111008
0.306,-0.170998
0.323,-0.216887
0.34,-0.202985
0.357,-0.171152
0.374,-0.106811
0.391,-0.104106
0.408,-0.0448704
0.425,0.0522912
0.442,-0.0287217
0.459,0.0410063
0.476,0.0288344
0.493,0.0560154
0.51,0.05835
0.527,0.0848222
0.544,0.0970949
0.561,0.138901
0.578,0.196554
0.595,0.191016
0.612,0.255431
0.629,0.264943
0.646,0.256194
0.663,0.273543
0.68,0.228514
0.697,0.131613
0.714,0.093016
0.731,0.153866
0.748,0.214705
0.765,0.190449
0.782,0.115446
0.799,0.167862
0.816,0.168412
0.833,0.237811
0.85,0.271855
0.867,0.261857
0.884,0.141888
0.901,0.0883419
0.918,0.129508
0.935,0.0966785
0.952,0.158566
0.969,0.15357
0.986,0.132048
1.003,0.108791
1.02,0.118879
1.037,0.0284177
1.054,0.0957184
1.071,0.117229
1.088,0.178571
1.105,0.153462
1.122,0.070764
1.139,0.10734
1.156,0.148902
1.173,0.130612
1.19,0.139935
1.207,0.0956042
1.224,0.118774
1.241,0.100598
1.258,0.0944338
1.275,0.0933897
1.292,0.175291
1.309,0.118133
1.326,0.144134
1.343,0.121792
1.36,0.174212
1.377,0.155688
1.394,0.137261
1.411,0.121476
1.428,0.157871
1.445,0.164495
1.462,0.266208
1.479,0.276207
1.496,0.401376
1.513,0.414718
1.53,0.459955
1.547,0.486894
1.564,0.456544
1.581,0.461975
1.598,0.541141
1.615,0.560901
1.632,0.557242
1.649,0.589497
1.666,0.619864
1.683,0.553773
1.7,0.543578
1.717,0.540566
1.734,0.545455
1.751,0.570444
1.768,0.523026
1.785,0.597456
1.802,0.626863
1.819,0.610179
1.836,0.646931
1.853,0.689219
1.87,0.717946
1.887,0.782251
1.904,0.732434
1.921,0.669612
1.938,0.655537
1.955,0.651565
1.972,0.674817
1.989,0.69625
2.006,0.583083
2.023,0.606672
2.04,0.535577
2.057,0.512486
2.074,0.629535
2.091,0.665565
2.108,0.732144
2.125,0.659086
2.142,0.70733
2.159,0.744262
2.176,0.814058
2.193,0.959106
2.21,0.896579
2.227,0.831677
2.244,0.812351
2.261,0.812079
2.278,0.822585
2.295,0.817453
2.312,0.910505
2.329,0.848715
2.346,0.750772
2.363,0.754708
2.38,0.709627
2.397,0.679
2.414,0.632094
2.431,0.635111
2.448,0.696596
2.465,0.745465
2.482,0.762973
2.499,0.766946
2.516,0.84429
2.533,0.856932
2.55,0.86991
2.567,0.926186
2.584,0.960485
2.601,0.97597
2.618,0.957545
2.635,0
2.652,0.0893212
2.669,0.152181
2.686,0.207759
2.703,0.268301
2.72,0.171227
2.737,0.238448
2.754,0.303447
2.771,0.272355
2.788,0.365822
2.805,0.437912
2.822,0.410848
2.839,0.456438
2.856,0.371627
2.873,0.355417
2.89,0.240024
2.907,0.236518
2.924,0.354305
2.941,0.391061
2.958,0.408233
2.975,0.378568
2.992,0.378703
3.009,0.262087
3.026,0.27485
3.043,0.254653
3.06,0.349231
3.077,0.424836
3.094,0.464712
3.111,0.421124
3.128,0.524485
3.145,0.599491
3.162,0.456394
3.179,0.455562
3.196,0.425604
3.213,0.395208
3.23,0.370825
3.247,0.367858
3.264,0.42706
3.281,0.444696
3.298,0.444694
3.315,0.490689
3.332,0.494103
3.349,0.471611
3.366,0.474003
3.383,0.429413
3.4,0.444876
3.417,0.333271
3.434,0.355725
3.451,0.327839
3.468,0.337668
3.485,0.409428
3.502,0.508363
3.519,0.465836
3.536,0.561007
3.553,0.600734
3.57,0.477879
3.587,0.470594
3.604,0.442617
3.621,0.362328
3.638,0.399443
3.655,0.423318
3.672,0.455541
3.689,0.318173
3.706,0.393549
3.723,0.368172
3.74,0.314576
3.757,0.279591
3.774,0.271224
3.791,0.289643
3.808,0.274535
3.825,0.213822
3.842,0.125733
3.859,0.118812
3.876,0.208825
3.893,0.236564
3.91,0.130132
3.927,0.0972445
3.944,0.0251255
3.961,-0.0159262
3.978,-0.045349
3.995,-0.0542599
4.012,-0.115862
4.029,-0.175461
4.046,-0.262181
4.063,-0.271239
4.08,-0.324859
4.097,-0.237171
4.114,-0.264908
4.131,-0.2903
4.148,-0.207969
4.165,-0.129645
4.182,-0.115001
4.199,-0.154905
4.216,-0.180283
4.233,-0.118592
4.25,-0.125978
4.267,-0.083306
4.284,-0.060284
4.301,-0.0809798
4.318,-0.11447
4.335,-0.128587
4.352,-0.161127
4.369,-0.103318
4.386,-0.106464
4.403,-0.124256
4.42,-0.0547497
4.437,-0.0710262
4.454,-0.075005
4.471,-0.00179588
4.488,-0.057438
4.505,0.0308917
4.522,0.0741523
4.539,0.0447503
4.556,6.11602e-05
4.573,-0.0294381
4.59,0.0815341
4.607,0.0861233
4.624,0.0429478
4.641,-0.0563812
4.658,-0.0528178
4.675,0.0217877
4.692,0.0389292
4.709,0.0658783
4.726,0.102883
4.743,0.0719381
4.76,0.125393
4.777,0.115295
4.794,0.146293
4.811,0.136796
4.828,0.0885396
4.845,0.0620492
4.862,0.0664342
4.879,0.119157
4.896,0.0984636
4.913,0.143418
4.93,0.239029
4.947,0.127231
4.964,0.0931069
4.981,0.106209
4.998,0.0147115
5.015,0.0625771
5.032,0.0921018
5.049,0.128415
